"SIVIMID","Revised.sintaxon"
"NEW-OMAR-BA58","Sisymbrion officinalis"
"NEW-OMAR-MO06","Sisymbrion officinalis"
"NEW-OMAR-MO09","Sisymbrion officinalis"
"NEW-OMAR-MO10","Sisymbrion officinalis"
"NEW-OMAR-NI06","Sisymbrion officinalis"
"Q-P07041","Sisymbrion officinalis"
"Q-P08742","Sisymbrion officinalis"
"Q-P08743","Sisymbrion officinalis"
"Q-P08744","Sisymbrion officinalis"
"Q-P09946","Sisymbrion officinalis"
"Q-P09967","Sisymbrion officinalis"
"Q-P09968","Sisymbrion officinalis"
"Q-P10024","Sisymbrion officinalis"
"Q-P10027","Sisymbrion officinalis"
"Q-P10029","Sisymbrion officinalis"
"Q-P10030","Sisymbrion officinalis"
"Q-P10031","Sisymbrion officinalis"
"Q-P10032","Sisymbrion officinalis"
"Q-P10033","Sisymbrion officinalis"
"Q-P10034","Sisymbrion officinalis"
"Q-P10035","Sisymbrion officinalis"
"Q-P10096","Sisymbrion officinalis"
"R-P12746","Sisymbrion officinalis"
"R-P12833","Sisymbrion officinalis"
"R-P15132","Sisymbrion officinalis"
"R-P15133","Sisymbrion officinalis"
"R-P15134","Sisymbrion officinalis"
"R-P15135","Sisymbrion officinalis"
"R-P15136","Sisymbrion officinalis"
"R-P15137","Sisymbrion officinalis"
"R-P15138","Sisymbrion officinalis"
"R-P15139","Sisymbrion officinalis"
"R-P15140","Sisymbrion officinalis"
"R-P15141","Sisymbrion officinalis"
"R-P15142","Sisymbrion officinalis"
"R-P15143","Sisymbrion officinalis"
"R-P22237","Sisymbrion officinalis"
"R-P22238","Sisymbrion officinalis"
"R-P22239","Sisymbrion officinalis"
"R-P22293","Sisymbrion officinalis"
"R-P22294","Sisymbrion officinalis"
"R-P22295","Sisymbrion officinalis"
"R-P22298","Sisymbrion officinalis"
"R-P22299","Sisymbrion officinalis"
"R-P23931","Sisymbrion officinalis"
"R-P23932","Sisymbrion officinalis"
"R-P23990","Sisymbrion officinalis"
"R-P24021","Sisymbrion officinalis"
"R-P24022","Sisymbrion officinalis"
"R-P24023","Sisymbrion officinalis"
"R-P24024","Sisymbrion officinalis"
"R-P24025","Sisymbrion officinalis"
"R-P24029","Sisymbrion officinalis"
"R-P24030","Sisymbrion officinalis"
"R-P24031","Sisymbrion officinalis"
"R-P24032","Sisymbrion officinalis"
"R-P24033","Sisymbrion officinalis"
"R-P24034","Sisymbrion officinalis"
"R-P24035","Sisymbrion officinalis"
"R-P24040","Sisymbrion officinalis"
"R-P24042","Sisymbrion officinalis"
"R-P24045","Sisymbrion officinalis"
"R-P24046","Sisymbrion officinalis"
"R-P24047","Sisymbrion officinalis"
"R-P24048","Sisymbrion officinalis"
"R-P24049","Sisymbrion officinalis"
"R-P24576","Sisymbrion officinalis"
"R-P24594","Sisymbrion officinalis"
"R-P24647","Sisymbrion officinalis"
"R-P24648","Sisymbrion officinalis"
"R-P24650","Sisymbrion officinalis"
"R-P24652","Sisymbrion officinalis"
"R-P24653","Sisymbrion officinalis"
"R-P27076","Sisymbrion officinalis"
"R-P27091","Sisymbrion officinalis"
"R-P28993","Sisymbrion officinalis"
"R-P28994","Sisymbrion officinalis"
"S-P11128","Sisymbrion officinalis"
"S-P12072","Sisymbrion officinalis"
"S-P12074","Sisymbrion officinalis"
"S-P15116","Sisymbrion officinalis"
"S-P15118","Sisymbrion officinalis"
"S-P15119","Sisymbrion officinalis"
"S-P15120","Sisymbrion officinalis"
"S-P15124","Sisymbrion officinalis"
"S-P15125","Sisymbrion officinalis"
"S-P15126","Sisymbrion officinalis"
"S-P17955","Sisymbrion officinalis"
"S-P17957","Sisymbrion officinalis"
"S-P17958","Sisymbrion officinalis"
"S-P17959","Sisymbrion officinalis"
"S-P17960","Sisymbrion officinalis"
"S-P17961","Sisymbrion officinalis"
"S-P17962","Sisymbrion officinalis"
"S-P18290","Sisymbrion officinalis"
"S-P18291","Sisymbrion officinalis"
"S-P18292","Sisymbrion officinalis"
"S-P18294","Sisymbrion officinalis"
"S-P20423","Sisymbrion officinalis"
"S-P20424","Sisymbrion officinalis"
"S-P20429","Sisymbrion officinalis"
"S-P20437","Sisymbrion officinalis"
"S-P20453","Sisymbrion officinalis"
"S-P25125","Sisymbrion officinalis"
"S-P25141","Sisymbrion officinalis"
"T-P02591","Sisymbrion officinalis"
"T-P02592","Sisymbrion officinalis"
"T-P02593","Sisymbrion officinalis"
"T-P02594","Sisymbrion officinalis"
"T-P02595","Sisymbrion officinalis"
"T-P02602","Sisymbrion officinalis"
"T-P03078","Sisymbrion officinalis"
"T-P03079","Sisymbrion officinalis"
"T-P03080","Sisymbrion officinalis"
"T-P03081","Sisymbrion officinalis"
"T-P04825","Sisymbrion officinalis"
"T-P05175","Sisymbrion officinalis"
"T-P05176","Sisymbrion officinalis"
"T-P05177","Sisymbrion officinalis"
"T-P06587","Sisymbrion officinalis"
"T-P06617","Sisymbrion officinalis"
"T-P06641","Sisymbrion officinalis"
"T-P06646","Sisymbrion officinalis"
"T-P06649","Sisymbrion officinalis"
"T-P06650","Sisymbrion officinalis"
"T-P06651","Sisymbrion officinalis"
"T-P06652","Sisymbrion officinalis"
"T-P11681","Sisymbrion officinalis"
"T-P11682","Sisymbrion officinalis"
"T-P11683","Sisymbrion officinalis"
"T-P11684","Sisymbrion officinalis"
"T-P11685","Sisymbrion officinalis"
"T-P11686","Sisymbrion officinalis"
"T-P11687","Sisymbrion officinalis"
"T-P11688","Sisymbrion officinalis"
"T-P11689","Sisymbrion officinalis"
"T-P11690","Sisymbrion officinalis"
"T-P11691","Sisymbrion officinalis"
"T-P11853","Sisymbrion officinalis"
"T-P11855","Sisymbrion officinalis"
"T-P11856","Sisymbrion officinalis"
"T-P11857","Sisymbrion officinalis"
"T-P11858","Sisymbrion officinalis"
"T-P11859","Sisymbrion officinalis"
"T-P11860","Sisymbrion officinalis"
"T-P11861","Sisymbrion officinalis"
"T-P12083","Sisymbrion officinalis"
"T-P12296","Sisymbrion officinalis"
"T-P12297","Sisymbrion officinalis"
"T-P12300","Sisymbrion officinalis"
"T-P12301","Sisymbrion officinalis"
"T-P12302","Sisymbrion officinalis"
"T-P12303","Sisymbrion officinalis"
"T-P12304","Sisymbrion officinalis"
"T-P12305","Sisymbrion officinalis"
"T-P12306","Sisymbrion officinalis"
"T-P13205","Sisymbrion officinalis"
"T-P13233","Sisymbrion officinalis"
"T-P13234","Sisymbrion officinalis"
"T-P13237","Sisymbrion officinalis"
"T-P13238","Sisymbrion officinalis"
"T-P13239","Sisymbrion officinalis"
"T-P13240","Sisymbrion officinalis"
"T-P13241","Sisymbrion officinalis"
"T-P13242","Sisymbrion officinalis"
"T-P13243","Sisymbrion officinalis"
"T-P13244","Sisymbrion officinalis"
"T-P13245","Sisymbrion officinalis"
"T-P13246","Sisymbrion officinalis"
"T-P13247","Sisymbrion officinalis"
"T-P13248","Sisymbrion officinalis"
"T-P13250","Sisymbrion officinalis"
"T-P27785","Sisymbrion officinalis"
"T-P36741","Sisymbrion officinalis"
"T-P36742","Sisymbrion officinalis"
"T-P36743","Sisymbrion officinalis"
"T-P36744","Sisymbrion officinalis"
"T-P36745","Sisymbrion officinalis"
"T-P36746","Sisymbrion officinalis"
"T-P36814","Sisymbrion officinalis"
"T-P36816","Sisymbrion officinalis"
"T-P36817","Sisymbrion officinalis"
"T-P36818","Sisymbrion officinalis"
"T-P36819","Sisymbrion officinalis"
"T-P36820","Sisymbrion officinalis"
"T-P36821","Sisymbrion officinalis"
"U-P00115","Sisymbrion officinalis"
"U-P00121","Sisymbrion officinalis"
"U-P00593","Sisymbrion officinalis"
"U-P00608","Sisymbrion officinalis"
"U-P00629","Sisymbrion officinalis"
"U-P00631","Sisymbrion officinalis"
"U-P06048","Sisymbrion officinalis"
"U-P06052","Sisymbrion officinalis"
"U-P06053","Sisymbrion officinalis"
"U-P06054","Sisymbrion officinalis"
"U-P06055","Sisymbrion officinalis"
