"SIVIMID","Revised.sintaxon"
"Q-P08754","Cirsion richterano-chodati"
"Q-P08755","Cirsion richterano-chodati"
"Q-P08756","Cirsion richterano-chodati"
"Q-P08758","Cirsion richterano-chodati"
"Q-P08760","Cirsion richterano-chodati"
"Q-P08761","Cirsion richterano-chodati"
"Q-P08762","Cirsion richterano-chodati"
"Q-P08763","Cirsion richterano-chodati"
"Q-P08764","Cirsion richterano-chodati"
"Q-P08765","Cirsion richterano-chodati"
"Q-P08766","Cirsion richterano-chodati"
"Q-P08767","Cirsion richterano-chodati"
"Q-P08768","Cirsion richterano-chodati"
"R-P12765","Cirsion richterano-chodati"
"R-P24573","Cirsion richterano-chodati"
"R-P24574","Cirsion richterano-chodati"
"R-P24575","Cirsion richterano-chodati"
"R-P28998","Cirsion richterano-chodati"
"R-P28999","Cirsion richterano-chodati"
"R-P29000","Cirsion richterano-chodati"
"S-P11133","Cirsion richterano-chodati"
"S-P11149","Cirsion richterano-chodati"
"S-P11150","Cirsion richterano-chodati"
"S-P11151","Cirsion richterano-chodati"
"S-P11152","Cirsion richterano-chodati"
"S-P11153","Cirsion richterano-chodati"
"S-P11154","Cirsion richterano-chodati"
"S-P11155","Cirsion richterano-chodati"
"S-P11156","Cirsion richterano-chodati"
"S-P11157","Cirsion richterano-chodati"
"S-P11158","Cirsion richterano-chodati"
"S-P11159","Cirsion richterano-chodati"
"S-P11160","Cirsion richterano-chodati"
"S-P11161","Cirsion richterano-chodati"
"S-P19747","Cirsion richterano-chodati"
"S-P21798","Cirsion richterano-chodati"
"S-P21799","Cirsion richterano-chodati"
"S-P21800","Cirsion richterano-chodati"
"T-P02609","Cirsion richterano-chodati"
"T-P04817","Cirsion richterano-chodati"
"T-P04818","Cirsion richterano-chodati"
"T-P04821","Cirsion richterano-chodati"
"T-P04822","Cirsion richterano-chodati"
"T-P04823","Cirsion richterano-chodati"
"T-P04824","Cirsion richterano-chodati"
"T-P11654","Cirsion richterano-chodati"
"T-P11665","Cirsion richterano-chodati"
"T-P11666","Cirsion richterano-chodati"
"T-P11667","Cirsion richterano-chodati"
"T-P11668","Cirsion richterano-chodati"
"T-P11669","Cirsion richterano-chodati"
"T-P11670","Cirsion richterano-chodati"
"T-P11671","Cirsion richterano-chodati"
"T-P11881","Cirsion richterano-chodati"
"T-P11882","Cirsion richterano-chodati"
"T-P12286","Cirsion richterano-chodati"
"T-P12287","Cirsion richterano-chodati"
"T-P12288","Cirsion richterano-chodati"
"T-P12289","Cirsion richterano-chodati"
"T-P12290","Cirsion richterano-chodati"
"T-P12291","Cirsion richterano-chodati"
"T-P12292","Cirsion richterano-chodati"
"T-P15409","Cirsion richterano-chodati"
"T-P15413","Cirsion richterano-chodati"
"T-P15426","Cirsion richterano-chodati"
"T-P15427","Cirsion richterano-chodati"
"T-P22326","Cirsion richterano-chodati"
"T-P22327","Cirsion richterano-chodati"
"T-P22328","Cirsion richterano-chodati"
"T-P22329","Cirsion richterano-chodati"
"T-P22330","Cirsion richterano-chodati"
"T-P22331","Cirsion richterano-chodati"
"T-P22332","Cirsion richterano-chodati"
"T-P22333","Cirsion richterano-chodati"
"T-P22334","Cirsion richterano-chodati"
"T-P22335","Cirsion richterano-chodati"
"T-P22336","Cirsion richterano-chodati"
"T-P22337","Cirsion richterano-chodati"
"T-P22338","Cirsion richterano-chodati"
"T-P22339","Cirsion richterano-chodati"
"T-P22340","Cirsion richterano-chodati"
"T-P22341","Cirsion richterano-chodati"
"T-P22342","Cirsion richterano-chodati"
"T-P22343","Cirsion richterano-chodati"
"T-P22344","Cirsion richterano-chodati"
"T-P22352","Cirsion richterano-chodati"
"T-P22353","Cirsion richterano-chodati"
"T-P22356","Cirsion richterano-chodati"
"T-P22357","Cirsion richterano-chodati"
"T-P22358","Cirsion richterano-chodati"
"T-P22359","Cirsion richterano-chodati"
"T-P22360","Cirsion richterano-chodati"
"T-P22361","Cirsion richterano-chodati"
"T-P22362","Cirsion richterano-chodati"
"T-P22363","Cirsion richterano-chodati"
"T-P23967","Cirsion richterano-chodati"
"T-P23969","Cirsion richterano-chodati"
"T-P35969","Cirsion richterano-chodati"
"U-P00106","Cirsion richterano-chodati"
"U-P00107","Cirsion richterano-chodati"
"U-P00108","Cirsion richterano-chodati"
"U-P00109","Cirsion richterano-chodati"
"U-P00110","Cirsion richterano-chodati"
"U-P00111","Cirsion richterano-chodati"
"U-P00112","Cirsion richterano-chodati"
"U-P00113","Cirsion richterano-chodati"
"U-P00114","Cirsion richterano-chodati"
"U-P00116","Cirsion richterano-chodati"
"U-P00117","Cirsion richterano-chodati"
"U-P00599","Cirsion richterano-chodati"
"U-P00600","Cirsion richterano-chodati"
"U-P00601","Cirsion richterano-chodati"
"U-P00602","Cirsion richterano-chodati"
"U-P00603","Cirsion richterano-chodati"
"U-P00604","Cirsion richterano-chodati"
"U-P00606","Cirsion richterano-chodati"
"U-P00607","Cirsion richterano-chodati"
"U-P00609","Cirsion richterano-chodati"
"U-P00610","Cirsion richterano-chodati"
"U-P00611","Cirsion richterano-chodati"
"U-P15570","Cirsion richterano-chodati"
"U-P15578","Cirsion richterano-chodati"
"U-P15579","Cirsion richterano-chodati"
"U-P16702","Cirsion richterano-chodati"
"U-P16703","Cirsion richterano-chodati"
"U-P16704","Cirsion richterano-chodati"
"U-P16705","Cirsion richterano-chodati"
"U-P16706","Cirsion richterano-chodati"
