"SIVIMID","Revised.sintaxon"
"NEW-OMAR-BA02","Dauco-Melilotion"
"NEW-OMAR-BA12","Dauco-Melilotion"
"NEW-OMAR-BA15","Dauco-Melilotion"
"NEW-OMAR-CA01","Dauco-Melilotion"
"NEW-OMAR-CA02","Dauco-Melilotion"
"NEW-OMAR-CA03","Dauco-Melilotion"
"NEW-OMAR-CA04","Dauco-Melilotion"
"NEW-OMAR-CA05","Dauco-Melilotion"
"NEW-OMAR-CA06","Dauco-Melilotion"
"NEW-OMAR-CA07","Dauco-Melilotion"
"NEW-OMAR-CA08","Dauco-Melilotion"
"NEW-OMAR-CA09","Dauco-Melilotion"
"NEW-OMAR-CA10","Dauco-Melilotion"
"NEW-OMAR-LF95","Dauco-Melilotion"
"NEW-OMAR-MO01","Dauco-Melilotion"
"NEW-OMAR-MO03","Dauco-Melilotion"
"NEW-OMAR-MO04","Dauco-Melilotion"
"NEW-OMAR-MO05","Dauco-Melilotion"
"NEW-OMAR-MO07","Dauco-Melilotion"
"NEW-OMAR-MO08","Dauco-Melilotion"
"NEW-OMAR-NI02","Dauco-Melilotion"
"NEW-OMAR-NI03","Dauco-Melilotion"
"NEW-OMAR-NI04","Dauco-Melilotion"
"NEW-OMAR-NI05","Dauco-Melilotion"
"NEW-OMAR-NI07","Dauco-Melilotion"
"NEW-OMAR-PA104","Dauco-Melilotion"
"NEW-OMAR-PA97","Dauco-Melilotion"
"NEW-OMAR-PA98","Dauco-Melilotion"
"NEW-OMAR-RE27","Dauco-Melilotion"
"Q-P09505","Dauco-Melilotion"
"Q-P09506","Dauco-Melilotion"
"Q-P09507","Dauco-Melilotion"
"Q-P09508","Dauco-Melilotion"
"Q-P09509","Dauco-Melilotion"
"Q-P09510","Dauco-Melilotion"
"Q-P09511","Dauco-Melilotion"
"Q-P09512","Dauco-Melilotion"
"Q-P09513","Dauco-Melilotion"
"Q-P09952","Dauco-Melilotion"
"Q-P09953","Dauco-Melilotion"
"Q-P09954","Dauco-Melilotion"
"Q-P10409","Dauco-Melilotion"
"R-P07581","Dauco-Melilotion"
"R-P07582","Dauco-Melilotion"
"R-P07585","Dauco-Melilotion"
"R-P07586","Dauco-Melilotion"
"R-P07587","Dauco-Melilotion"
"R-P12727","Dauco-Melilotion"
"R-P12748","Dauco-Melilotion"
"R-P12749","Dauco-Melilotion"
"R-P12754","Dauco-Melilotion"
"R-P12755","Dauco-Melilotion"
"R-P24633","Dauco-Melilotion"
"R-P27073","Dauco-Melilotion"
"R-P27074","Dauco-Melilotion"
"R-P27079","Dauco-Melilotion"
"R-P27080","Dauco-Melilotion"
"R-P27093","Dauco-Melilotion"
"R-P27095","Dauco-Melilotion"
"R-P27096","Dauco-Melilotion"
"R-P27102","Dauco-Melilotion"
"R-P27103","Dauco-Melilotion"
"R-P27105","Dauco-Melilotion"
"R-P27106","Dauco-Melilotion"
"R-P27107","Dauco-Melilotion"
"R-P33439","Dauco-Melilotion"
"S-P12116","Dauco-Melilotion"
"S-P12117","Dauco-Melilotion"
"S-P12118","Dauco-Melilotion"
"S-P12119","Dauco-Melilotion"
"S-P12120","Dauco-Melilotion"
"S-P12121","Dauco-Melilotion"
"S-P12122","Dauco-Melilotion"
"S-P12123","Dauco-Melilotion"
"S-P12124","Dauco-Melilotion"
"S-P12125","Dauco-Melilotion"
"S-P12126","Dauco-Melilotion"
"S-P15123","Dauco-Melilotion"
"S-P15132","Dauco-Melilotion"
"S-P15142","Dauco-Melilotion"
"S-P15150","Dauco-Melilotion"
"S-P19645","Dauco-Melilotion"
"S-P19649","Dauco-Melilotion"
"S-P20364","Dauco-Melilotion"
"S-P20407","Dauco-Melilotion"
"S-P20422","Dauco-Melilotion"
"S-P20426","Dauco-Melilotion"
"S-P20427","Dauco-Melilotion"
"S-P20430","Dauco-Melilotion"
"S-P20431","Dauco-Melilotion"
"S-P20433","Dauco-Melilotion"
"T-P01420","Dauco-Melilotion"
"T-P05185","Dauco-Melilotion"
"T-P05186","Dauco-Melilotion"
"T-P05187","Dauco-Melilotion"
"T-P05188","Dauco-Melilotion"
"T-P05189","Dauco-Melilotion"
"T-P05192","Dauco-Melilotion"
"T-P07931","Dauco-Melilotion"
"T-P11636","Dauco-Melilotion"
"T-P11931","Dauco-Melilotion"
"T-P11932","Dauco-Melilotion"
"T-P11933","Dauco-Melilotion"
"T-P11935","Dauco-Melilotion"
"T-P11936","Dauco-Melilotion"
"T-P11937","Dauco-Melilotion"
"T-P11938","Dauco-Melilotion"
"T-P11939","Dauco-Melilotion"
"T-P11940","Dauco-Melilotion"
"T-P11941","Dauco-Melilotion"
"T-P11942","Dauco-Melilotion"
"T-P11943","Dauco-Melilotion"
"T-P11944","Dauco-Melilotion"
"T-P11945","Dauco-Melilotion"
"T-P11946","Dauco-Melilotion"
"T-P11947","Dauco-Melilotion"
"T-P11948","Dauco-Melilotion"
"T-P11949","Dauco-Melilotion"
"T-P11950","Dauco-Melilotion"
"T-P11951","Dauco-Melilotion"
"T-P11952","Dauco-Melilotion"
"T-P11953","Dauco-Melilotion"
"T-P17219","Dauco-Melilotion"
"T-P33580","Dauco-Melilotion"
"T-P33581","Dauco-Melilotion"
"T-P33584","Dauco-Melilotion"
"T-P33586","Dauco-Melilotion"
"T-P35967","Dauco-Melilotion"
"T-P36748","Dauco-Melilotion"
"T-P36749","Dauco-Melilotion"
"T-P36815","Dauco-Melilotion"
"U-P00595","Dauco-Melilotion"
"U-P00596","Dauco-Melilotion"
"U-P00598","Dauco-Melilotion"
"U-P00630","Dauco-Melilotion"
