"SIVIMID","Revised.sintaxon"
"NEW-OMAR-CC86","Cymbalario-Asplenion"
"NEW-OMAR-PA68","Cymbalario-Asplenion"
"NEW-OMAR-TU92","Cymbalario-Asplenion"
"Q-P02778","Cymbalario-Asplenion"
"Q-P02779","Cymbalario-Asplenion"
"Q-P02780","Cymbalario-Asplenion"
"Q-P02781","Cymbalario-Asplenion"
"Q-P02782","Cymbalario-Asplenion"
"Q-P02783","Cymbalario-Asplenion"
"Q-P02785","Cymbalario-Asplenion"
"Q-P02786","Cymbalario-Asplenion"
"Q-P02787","Cymbalario-Asplenion"
"Q-P02788","Cymbalario-Asplenion"
"Q-P02789","Cymbalario-Asplenion"
"Q-P02790","Cymbalario-Asplenion"
"Q-P02791","Cymbalario-Asplenion"
"Q-P02792","Cymbalario-Asplenion"
"Q-P02793","Cymbalario-Asplenion"
"Q-P02794","Cymbalario-Asplenion"
"Q-P07031","Cymbalario-Asplenion"
"Q-P07039","Cymbalario-Asplenion"
"Q-P09918","Cymbalario-Asplenion"
"Q-P09919","Cymbalario-Asplenion"
"Q-P09920","Cymbalario-Asplenion"
"Q-P09921","Cymbalario-Asplenion"
"R-P15101","Cymbalario-Asplenion"
"R-P15102","Cymbalario-Asplenion"
"R-P15103","Cymbalario-Asplenion"
"R-P15104","Cymbalario-Asplenion"
"R-P15105","Cymbalario-Asplenion"
"R-P15106","Cymbalario-Asplenion"
"R-P15107","Cymbalario-Asplenion"
"R-P15108","Cymbalario-Asplenion"
"R-P15109","Cymbalario-Asplenion"
"R-P15110","Cymbalario-Asplenion"
"R-P15111","Cymbalario-Asplenion"
"R-P15112","Cymbalario-Asplenion"
"R-P15113","Cymbalario-Asplenion"
"R-P15115","Cymbalario-Asplenion"
"R-P15116","Cymbalario-Asplenion"
"R-P15117","Cymbalario-Asplenion"
"R-P15118","Cymbalario-Asplenion"
"R-P15119","Cymbalario-Asplenion"
"R-P15120","Cymbalario-Asplenion"
"R-P15121","Cymbalario-Asplenion"
"R-P15122","Cymbalario-Asplenion"
"R-P15123","Cymbalario-Asplenion"
"R-P15124","Cymbalario-Asplenion"
"R-P15125","Cymbalario-Asplenion"
"R-P22336","Cymbalario-Asplenion"
"R-P22337","Cymbalario-Asplenion"
"R-P22338","Cymbalario-Asplenion"
"R-P22339","Cymbalario-Asplenion"
"R-P22340","Cymbalario-Asplenion"
"R-P23777","Cymbalario-Asplenion"
"R-P24468","Cymbalario-Asplenion"
"R-P24471","Cymbalario-Asplenion"
"R-P24474","Cymbalario-Asplenion"
"S-P12040","Cymbalario-Asplenion"
"S-P12041","Cymbalario-Asplenion"
"S-P12042","Cymbalario-Asplenion"
"S-P17950","Cymbalario-Asplenion"
"S-P17951","Cymbalario-Asplenion"
"S-P17952","Cymbalario-Asplenion"
"S-P17953","Cymbalario-Asplenion"
"S-P17954","Cymbalario-Asplenion"
"S-P20227","Cymbalario-Asplenion"
"S-P20228","Cymbalario-Asplenion"
"S-P20229","Cymbalario-Asplenion"
"T-P02582","Cymbalario-Asplenion"
"T-P03088","Cymbalario-Asplenion"
"T-P03089","Cymbalario-Asplenion"
"T-P03090","Cymbalario-Asplenion"
"T-P03091","Cymbalario-Asplenion"
"T-P03092","Cymbalario-Asplenion"
"T-P03093","Cymbalario-Asplenion"
"T-P03094","Cymbalario-Asplenion"
"T-P03095","Cymbalario-Asplenion"
"T-P03096","Cymbalario-Asplenion"
"T-P03097","Cymbalario-Asplenion"
"T-P03098","Cymbalario-Asplenion"
"T-P03099","Cymbalario-Asplenion"
"T-P03100","Cymbalario-Asplenion"
"T-P03101","Cymbalario-Asplenion"
"T-P03102","Cymbalario-Asplenion"
"T-P03103","Cymbalario-Asplenion"
"T-P03104","Cymbalario-Asplenion"
"T-P03105","Cymbalario-Asplenion"
"T-P03106","Cymbalario-Asplenion"
"T-P03107","Cymbalario-Asplenion"
"T-P03108","Cymbalario-Asplenion"
"T-P03109","Cymbalario-Asplenion"
"T-P03110","Cymbalario-Asplenion"
"T-P04874","Cymbalario-Asplenion"
"T-P04875","Cymbalario-Asplenion"
"T-P04876","Cymbalario-Asplenion"
"T-P04877","Cymbalario-Asplenion"
"T-P04878","Cymbalario-Asplenion"
"T-P04879","Cymbalario-Asplenion"
"T-P04880","Cymbalario-Asplenion"
"T-P04881","Cymbalario-Asplenion"
"T-P04882","Cymbalario-Asplenion"
"T-P04883","Cymbalario-Asplenion"
