Percentage synoptic table with fidelity {Phi coeff. C } (29 columns)
;;;34;56;56;127;47;43;10;14;100;5;59;34;69;41;12;80;188;34;24;206;16;71;169;39;228;30;145;144;427
Anthriscus sylvestris; 0;   ;    91.0;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     5.2;     1.7;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Heracleum sphondylium; 0;   ;    66.7;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     1.1;  ---;  ---;  ---;  ---;     5.3;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;    19.6;  ---;  ---;  ---;
Cruciata laevipes; 0;   ;    47.3;  ---;  ---;     1.8;  ---;  ---;  ---;  ---;     1.9;  ---;  ---;     0.6;  ---;  ---;  ---;  ---;     8.1;     7.8;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Alliaria petiolata; 0;   ;    41.6;  ---;     1.9;     3.7;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;    18.2;    17.5;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Geranium pyrenaicum; 0;   ;    41.4;  ---;    17.6;     9.4;  ---;     2.5;  ---;  ---;     8.5;  ---;  ---;  ---;  ---;  ---;  ---;  ---;    21.1;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Ranunculus acris; 0;   ;    31.4;  ---;  ---;    16.7;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     1.7;     1.6;  ---;  ---;  ---;     7.4;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Lamium maculatum; 0;   ;    30.1;    23.8;  ---;     3.0;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;    21.4;     0.8;  ---;  ---;  ---;  ---;  ---;  ---;  ---;    27.8;  ---;  ---;  ---;
Geum urbanum; 0;   ;    30.1;  ---;     0.8;     4.8;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     6.8;  ---;  ---;  ---;  ---;    12.4;    16.8;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Urtica membranacea; 0;   ;  ---;    69.9;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     7.1;  ---;  ---;  ---;  ---;  ---;     2.9;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Smyrnium olusatrum; 0;   ;     1.6;    63.2;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Allium triquetrum; 0;   ;  ---;    57.4;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Tradescantia fluminensis; 0;   ;  ---;    45.2;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;    24.1;  ---;  ---;  ---;
Arum italicum; 0;   ;    13.2;    44.7;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     0.0;  ---;  ---;  ---;  ---;     2.7;     0.0;  ---;     8.1;  ---;  ---;  ---;  ---;     0.2;  ---;  ---;  ---;  ---;
Oenanthe crocata; 0;   ;  ---;    36.5;  ---;  ---;     9.0;     0.5;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     4.0;  ---;  ---;     0.3;     1.4;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     1.9;  ---;  ---;     0.2;
Geranium purpureum; 0;   ;  ---;    31.6;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     1.3;  ---;  ---;  ---;  ---;    29.6;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Arisarum vulgare; 0;   ;  ---;    31.1;  ---;  ---;  ---;     3.7;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     4.4;  ---;  ---;  ---;     0.0;
Oxybasis rubra; 0;   ;  ---;  ---;    73.5;  ---;  ---;  ---;  ---;  ---;     0.5;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     1.4;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Senecio duriaei; 0;   ;  ---;  ---;    67.7;  ---;  ---;  ---;  ---;  ---;     0.8;  ---;  ---;  ---;  ---;  ---;     7.3;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Cytisus oromediterraneus; 0;   ;  ---;  ---;    34.8;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Blitum bonus-henricus; 0;   ;  ---;  ---;    34.5;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Centaurea lagascana; 0;   ;  ---;  ---;    32.2;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Bidens frondosus; 0;   ;  ---;  ---;  ---;  ---;    81.5;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     0.4;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Persicaria hydropiper; 0;   ;  ---;  ---;  ---;  ---;    78.5;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;    16.7;  ---;  ---;  ---;
Phalaroides arundinacea; 0;   ;  ---;  ---;  ---;  ---;    72.1;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Helosciadium nodiflorum; 0;   ;  ---;  ---;  ---;  ---;    63.3;  ---;  ---;  ---;  ---;  ---;  ---;     0.0;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;    17.7;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Cyperus eragrostis; 0;   ;  ---;     1.3;  ---;  ---;    61.5;  ---;  ---;  ---;  ---;  ---;  ---;    11.3;     0.5;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Dysphania ambrosioides; 0;   ;  ---;  ---;  ---;  ---;    57.3;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     4.0;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Xanthium orientale; 0;   ;  ---;  ---;  ---;  ---;    55.8;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Artemisia verlotiorum; 0;   ;  ---;  ---;  ---;  ---;    49.8;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Solanum chenopodioides; 0;   ;  ---;  ---;  ---;  ---;    45.2;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Cuscuta campestris; 0;   ;  ---;  ---;  ---;  ---;    42.9;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Galium palustre; 0;   ;  ---;  ---;  ---;  ---;    42.6;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Agrostis stolonifera; 0;   ;  ---;  ---;  ---;  ---;    40.9;  ---;  ---;  ---;  ---;  ---;  ---;     0.6;     5.8;  ---;  ---;     1.5;  ---;  ---;  ---;  ---;     4.6;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     5.2;
Veronica beccabunga; 0;   ;  ---;  ---;  ---;  ---;    40.7;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Setaria parviflora; 0;   ;  ---;  ---;  ---;  ---;    38.0;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Galinsoga quadriradiata; 0;   ;  ---;  ---;  ---;  ---;    37.4;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Setaria faberi; 0;   ;  ---;  ---;  ---;  ---;    35.2;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Symphyotrichum squamatum; 0;   ;  ---;  ---;  ---;  ---;    34.7;  ---;  ---;  ---;  ---;  ---;     8.8;  ---;    16.9;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Symphyotrichum lanceolatum; 0;   ;  ---;  ---;  ---;  ---;    32.1;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Salix salviifolia; 0;   ;  ---;  ---;  ---;  ---;    32.1;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
