"Relevé number","SIVIMID","EUNIS_REVISED","EUNIS2020","PCluster","Class","Order","Alliance","Sintaxon","Aspect","Slope","Area","Year","DEG_LON","DEG_LAT","Accuracy","Elevation"
"1","NEW-OMAR-BA12","V38",NA,0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Comunidad de Arctium minus y Artemisia vulgaris","",0,4,1981,-5.707241301,43.32530597,"500",190
"2","NEW-OMAR-BA13","V39",NA,0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Comunidad de Arctium minus y Artemisia vulgaris","",20,9,1981,-5.707241301,43.32530597,"500",190
"3","NEW-OMAR-BA15","V38",NA,0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Comunidad de Arctium minus y Artemisia vulgaris","S",20,9,1981,-5.707241301,43.32530597,"500",190
"4","NEW-OMAR-LF109","V39",NA,0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Comunidad de Arctium minus y Artemisia vulgaris","",5,10,1981,-5.707241301,43.32530597,"500",200
"5","NEW-OMAR-LF95","V39",NA,0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Comunidad de Arctium minus y Artemisia vulgaris","S",0,40,1981,-5.682204615,43.31689226,"500",230
"6","NEW-OMAR-PA102","V39",NA,0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Comunidad de Arctium minus y Artemisia vulgaris","SE",0,20,1981,-5.654043577,43.23651311,"500",325
"7","NEW-OMAR-PA104","V38",NA,0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Comunidad de Arctium minus y Artemisia vulgaris","SE",15,80,1981,-5.654043577,43.23651311,"500",250
"8","P-P22131","V37"," R     ",0,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Allio vineale-Ranunculetum sardoi","",0,1000,2005,-1.381462446,43.44279511,"3 - UTM10x10 + Elevation",5
"9","P-P22132","V37"," V     ",0,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Allio vineale-Ranunculetum sardoi","",0,400,2005,-1.319948701,43.43290349,"3 - UTM10x10 + Elevation",5
"10","P-P22135","V37"," R     ",0,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Allio vineale-Ranunculetum sardoi","",0,500,2005,-1.253309719,43.43010393,"3 - UTM10x10 + Elevation",2
