"Assigned","Class","Order","Alliance"
"Not Cantabrian","Artemisietea vulgaris","Carthametalia lanati","Onopordion castellani"
"Not Cantabrian","Artemisietea vulgaris","Carthametalia lanati","Silybo mariani-Urticion piluliferae"
"Not Cantabrian","Chenopodietea","Brometalia rubenti-tectorum","Alysso granatensis-Brassicion barrelieri"
"Not Cantabrian","Chenopodietea","Brometalia rubenti-tectorum","Hordeion murini"
"Not Cantabrian","Chenopodietea","Brometalia rubenti-tectorum","Taeniathero-Aegilopion geniculatae"
"Not Cantabrian","Chenopodietea","Geranio purpureae-Cardaminetalia hirsutae","Parietarion lusitanico-mauritanicae"
"Not Cantabrian","Digitario sanguinalis-Eragrostietea minoris","Eragrostietalia","Diplotaxion erucoidis"
"Not Cantabrian","Digitario sanguinalis-Eragrostietea minoris","Euphorbietalia prostratae","Euphorbion prostratae"
"Not Cantabrian","Epilobietea angustifolii","Circaeo lutetianae-Stachyetalia sylvaticae","Fragarion vescae"
"Not Cantabrian","Papaveretea rhoeadis","Gladiolo italici-Ridolfietalia segeti","Roemerion hybridae"
"Yes","Artemisietea vulgaris","Agropyretalia intermedio-repentis","Convolvulo arvensis-Agropyrion repentis"
"Yes","Artemisietea vulgaris","Carthametalia lanati","Carduo carpetani-Cirsion odontolepidis"
"Yes","Artemisietea vulgaris","Onopordetalia acanthii","Cirsion richterano-chodati"
"Yes","Artemisietea vulgaris","Onopordetalia acanthii","Dauco-Melilotion"
"Yes","Bidentetea","Bidentetalia","Bidention tripartitae"
"Yes","Bidentetea","Paspalo-Heleochloetalia","Paspalo-Agrostion semiverticillati"
"Yes","Chenopodietea","Brometalia rubenti-tectorum","Echio-Galactition tomentosae"
"Yes","Chenopodietea","Brometalia rubenti-tectorum","Linario polygalifoliae-Vulpion alopecuri"
"Yes","Chenopodietea","Chenopodietalia","Chenopodion muralis"
"Yes","Chenopodietea","Geranio purpureae-Cardaminetalia hirsutae","Allion triquetri"
"Yes","Chenopodietea","Geranio purpureae-Cardaminetalia hirsutae","Geranio pusilli-Anthriscion caucalidis"
"Yes","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Cymbalario-Asplenion"
"Yes","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae"
"Yes","Digitario sanguinalis-Eragrostietea minoris","Eragrostietalia","Spergulo arvensis-Erodion cicutariae"
"Yes","Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae"
"Yes","Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati"
"Yes","Epilobietea angustifolii","Circaeo lutetianae-Stachyetalia sylvaticae","Aegopodion podagrariae"
"Yes","Epilobietea angustifolii","Convolvuletalia sepium","Cynancho-Convolvulion sepium"
"Yes","Epilobietea angustifolii","Convolvuletalia sepium","Senecionion fluviatilis"
"Yes","Epilobietea angustifolii","Galeopsio-Senecionetalia sylvatici","Epilobion angustifolii"
"Yes","Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis"
"Yes","Papaveretea rhoeadis","Aperetalia spicae-venti","Oxalidion europeae"
"Yes","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui"
"Yes","Papaveretea rhoeadis","Papaveretalia rhoeadis","Caucalidion lappulae"
"Yes","Polygono-Poetea annuae","Polygono arenastri-Poetalia annuae","Polycarpion tetraphylli"
"Yes","Polygono-Poetea annuae","Polygono arenastri-Poetalia annuae","Polygono-Coronopodion"
"Yes","Polygono-Poetea annuae","Polygono arenastri-Poetalia annuae","Saginion procumbentis"
"Yes","Sisymbrietea","Sisymbrietalia sophiae","Sisymbrion officinalis"
