Alliance,Association,Autores
Aegopodion podagrariae,Chaerophyllo aurei-Anthriscetum sylvestris,Rivas-Martínez & Costa 1997
Aegopodion podagrariae,Galio aparines-Anthriscetum sylvestris,"Loidi, Berastegi, Biurrun, García-Mijangos & Herrera 1995"
Allion triquetri,Allio triquetri-Urticetum membranaceae,"Alves, Honrado & Barreto de Oliveira 2003"
Allion triquetri,Chelidonio majoris-Smyrnietum olusatri,Amigo & Romero 1997
Allion triquetri,Urtico membranaceae-Smyrnietum olusatri,A. & O. Bolòs in O. Bolòs & Molinier 1958
Arction lappae,Chenopodio boni-henrici-Senecionetum duriaei,Rivas-Martínez 1964
Arction lappae,Galactito tomentosae-Digitaletum purpureae,Bellot & Casaseca in Casaseca 1959
Arction lappae,Geranio lusitanici-Scrophularietum herminii,"Honrado, Alves, Lomba, Rocha, Torres, Ortiz & Barreto Caldas 2004"
Arction lappae,Malvo mauritianae-Rumicetum obtusifolii,Oberdorfer & Tüxen in Tüxen & Oberdorfer 1958
Balloto-Conion maculati,Galio aparines-Conietum maculati,Rivas-Martínez ex G. López 1978
Balloto-Conion maculati,Urtico dioicae-Sambucetum ebuli,"(Br.-Bl. in Br.-Bl., Gajewski, Wraber & Walas 1936) Br.-Bl. in Br.-Bl., Roussine & Nègre 1952"
Bidention tripartitae,Bidenti tripartitae-Polygonetum lapathifolii,"Rivas-Martínez, Belmonte, Fernández-González & Sánchez-Mata in Sánchez-Mata 1989"
Bidention tripartitae,Cypero eragrostidi-Bidentetum frondosae,Amigo 2006
Bidention tripartitae,Filaginello uliginosae-Bidentetum tripartitae,Amigo 2006
Bidention tripartitae,Polygono hydropiperis-Bidentetum tripartitae,Lohmeyer ex Passarge 1955
Bidention tripartitae,Xanthio italici-Polygonetum persicariae,O. Bolòs 1957
Cirsion richterano-chodati,Carduo nutantis-Cirsietum chodati,"Rivas-Martínez & F. Prieto in Penas, T.E. Díaz, M.E. García, López Pacheco, Puente & L. Herrero 1988"
Cirsion richterano-chodati,Carduo nutantis-Cirsietum richterani,Loidi 1983
Cirsion richterano-chodati,Cirsio chodati-Carduetum cantabrici,"Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984"
