Original,Alliance,Order,Class,Vegetation,Anthropogenic,Assigned,EUNIS,CANTEUNIS
Comunidad de Elytrigia repens y Poa compressa,Convolvulo arvensis-Agropyrion repentis,Agropyretalia intermedio-repentis,Artemisietea vulgaris,ANTHROPOGENIC VEGETATION,Yes,Yes,V38,V38W
Carlino corymbosae-Carthametum lanati,Onopordion castellani,Carthametalia lanati,Artemisietea vulgaris,ANTHROPOGENIC VEGETATION,Yes,Not Cantabrian,V38,NA
Carduo bourgeani-Silybetum mariani,Silybo mariani-Urticion piluliferae,Carthametalia lanati,Artemisietea vulgaris,ANTHROPOGENIC VEGETATION,Yes,Not Cantabrian,V38,
Carduo bourgeani-Sylibetum mariani,Silybo mariani-Urticion piluliferae,Carthametalia lanati,Artemisietea vulgaris,ANTHROPOGENIC VEGETATION,Yes,Not Cantabrian,V38,
Echio rosulati-Silybetum mariani,Silybo mariani-Urticion piluliferae,Carthametalia lanati,Artemisietea vulgaris,ANTHROPOGENIC VEGETATION,Yes,Not Cantabrian,V38,
Carduo carpetani-Onopordetum acanthii,Carduo carpetani-Cirsion odontolepidis,Onopordetalia acanthii,Artemisietea vulgaris,ANTHROPOGENIC VEGETATION,Yes,Yes,V38,V38X
Carduo nutantis-Cirsietum chodati,Cirsion richterano-chodati,Onopordetalia acanthii,Artemisietea vulgaris,ANTHROPOGENIC VEGETATION,Yes,Yes,V38,V38Y
Carduo nutantis-Cirsietum richterani,Cirsion richterano-chodati,Onopordetalia acanthii,Artemisietea vulgaris,ANTHROPOGENIC VEGETATION,Yes,Yes,V38,V38Y
Cirsio chodati-Carduetum cantabrici,Cirsion richterano-chodati,Onopordetalia acanthii,Artemisietea vulgaris,ANTHROPOGENIC VEGETATION,Yes,Yes,V38,V38Y
Cirsio chodati-Carduetum carpetani,Cirsion richterano-chodati,Onopordetalia acanthii,Artemisietea vulgaris,ANTHROPOGENIC VEGETATION,Yes,Yes,V38,V38Y
Comunidad de Daucus carota y Melilotus alba,Dauco-Melilotion,Onopordetalia acanthii,Artemisietea vulgaris,ANTHROPOGENIC VEGETATION,Yes,Yes,V38,V38Z
Echio rosulati-Picridetum echioisia,Dauco-Melilotion,Onopordetalia acanthii,Artemisietea vulgaris,ANTHROPOGENIC VEGETATION,Yes,Yes,V38,V38Z
Helmintio echioidis-Melilotetum albae,Dauco-Melilotion,Onopordetalia acanthii,Artemisietea vulgaris,ANTHROPOGENIC VEGETATION,Yes,Yes,V38,V38Z
Picridi echioides-Melilotetum albi,Dauco-Melilotion,Onopordetalia acanthii,Artemisietea vulgaris,ANTHROPOGENIC VEGETATION,Yes,Yes,V38,V38Z
Onopordetum acantho-nervosi,Onopordion castellani,Carthametalia lanati,Artemisietea vulgaris,ANTHROPOGENIC VEGETATION,Yes,Not Cantabrian,V38,NA
Onopordion acanthii,Onopordion acanthii,Onopordetalia acanthii,Artemisietea vulgaris,ANTHROPOGENIC VEGETATION,Yes,Not Cantabrian,V38,NA
Bidentetea tripartitae,Bidention tripartitae,Bidentetalia,Bidentetea,ANTHROPOGENIC VEGETATION,Yes,Yes,No relationship,Q61Z
Bidenti tripartitae-Polygonetum lapathifolii,Bidention tripartitae,Bidentetalia,Bidentetea,ANTHROPOGENIC VEGETATION,Yes,Yes,No relationship,Q61Z
Cypero eragrostidi-Bidentetum frondosae,Bidention tripartitae,Bidentetalia,Bidentetea,ANTHROPOGENIC VEGETATION,Yes,Yes,No relationship,Q61Z
Filaginello uliginosae-Bidentetum tripartitae,Bidention tripartitae,Bidentetalia,Bidentetea,ANTHROPOGENIC VEGETATION,Yes,Yes,No relationship,Q61Z
Polygono hydropiperis-Bidentetum tripartitae,Bidention tripartitae,Bidentetalia,Bidentetea,ANTHROPOGENIC VEGETATION,Yes,Yes,No relationship,Q61Z
Xanthio italici-Polygonetum persicariae,Bidention tripartitae,Bidentetalia,Bidentetea,ANTHROPOGENIC VEGETATION,Yes,Yes,No relationship,Q61Z
Xanthio-Polygonetum persicariae,Bidention tripartitae,Bidentetalia,Bidentetea,ANTHROPOGENIC VEGETATION,Yes,Yes,No relationship,Q61Z
Paspalo-Agrostietum semiverticillatae,Paspalo-Agrostion semiverticillati,Paspalo-Heleochloetalia,Bidentetea,ANTHROPOGENIC VEGETATION,Yes,Yes,No relationship,R554
Coincyo setigerae-Brassicetum barrelieri,Alysso granatensis-Brassicion barrelieri,Brometalia rubenti-tectorum,Chenopodietea,ANTHROPOGENIC VEGETATION,Yes,Not Cantabrian,V33,NA
Coleostepho myconis-Galactitetum tomentosae,Echio-Galactition tomentosae,Brometalia rubenti-tectorum,Chenopodietea,ANTHROPOGENIC VEGETATION,Yes,Yes,V33,V332
Bromo scoparii-Hordeetum leporini,Hordeion murini,Brometalia rubenti-tectorum,Chenopodietea,ANTHROPOGENIC VEGETATION,Yes,Not Cantabrian,V32,NA
Scrophulario-Vulpietum alopecuroris,Linario polygalifoliae-Vulpion alopecuri,Brometalia rubenti-tectorum,Chenopodietea,ANTHROPOGENIC VEGETATION,Yes,Yes,V32,V32Z
Medicagini rigidulae-Aegilopetum geniculatae,Taeniathero-Aegilopion geniculatae,Brometalia rubenti-tectorum,Chenopodietea,ANTHROPOGENIC VEGETATION,Yes,Not Cantabrian,V32,NA
Trifolio cherleri-Taeniatheretum capitis-medusae,Taeniathero-Aegilopion geniculatae,Brometalia rubenti-tectorum,Chenopodietea,ANTHROPOGENIC VEGETATION,Yes,Not Cantabrian,V32,NA
Chenopodio albi-Conyzetum canadensis,Chenopodion muralis,Chenopodietalia,Chenopodietea,ANTHROPOGENIC VEGETATION,Yes,Yes,V37,V37X
Chenopodio muralis-Malvetum parviflorae,Chenopodion muralis,Chenopodietalia,Chenopodietea,ANTHROPOGENIC VEGETATION,Yes,Yes,V37,V37X
Chenopodion muralis,Chenopodion muralis,Chenopodietalia,Chenopodietea,ANTHROPOGENIC VEGETATION,Yes,Yes,V37,V37X
Sisymbrio irionis-Malvetum parviflorae,Chenopodion muralis,Chenopodietalia,Chenopodietea,ANTHROPOGENIC VEGETATION,Yes,Yes,V37,V37X
Urtico urentis-Malvetum neglectae,Chenopodion muralis,Chenopodietalia,Chenopodietea,ANTHROPOGENIC VEGETATION,Yes,Yes,V37,V37X
Allio triquetri-Urticetum membranaceae,Allion triquetri,Geranio purpureae-Cardaminetalia hirsutae,Chenopodietea,ANTHROPOGENIC VEGETATION,Yes,Yes,V37,V37Y
Chelidonio maji-Smyrnietum olusatri,Allion triquetri,Geranio purpureae-Cardaminetalia hirsutae,Chenopodietea,ANTHROPOGENIC VEGETATION,Yes,Yes,V37,V37Y
Urtico-Smyrnietum olusatri,Allion triquetri,Geranio purpureae-Cardaminetalia hirsutae,Chenopodietea,ANTHROPOGENIC VEGETATION,Yes,Yes,V37,V37Y
Anthrisco caucalidis-Geranietum lucidi,Geranio pusilli-Anthriscion caucalidis,Geranio purpureae-Cardaminetalia hirsutae,Chenopodietea,ANTHROPOGENIC VEGETATION,Yes,Yes,V37,V37Z
Anthrisco-Geranietum lucidi,Geranio pusilli-Anthriscion caucalidis,Geranio purpureae-Cardaminetalia hirsutae,Chenopodietea,ANTHROPOGENIC VEGETATION,Yes,Yes,V37,V37Z
Galio aparinellae-Anthriscetum caucalidis,Geranio pusilli-Anthriscion caucalidis,Geranio purpureae-Cardaminetalia hirsutae,Chenopodietea,ANTHROPOGENIC VEGETATION,Yes,Yes,V37,V37Z
Anogrammo leptophyllae-Parietarietum lusitanicae,Parietarion lusitanico-mauritanicae,Geranio purpureae-Cardaminetalia hirsutae,Chenopodietea,ANTHROPOGENIC VEGETATION,Yes,Not Cantabrian,V37,NA
Cymbalarietum muralis,Cymbalario-Asplenion,Tortulo-Cymbalarietalia,Cymbalario-Parietarietea diffusae,VEGETATION OF ROCK CREVICES AND SCREES,Yes,Yes,No relationship,J2.5 - Constructed boundaries 
Cymbalario-Trachelietum caerulei,Cymbalario-Asplenion,Tortulo-Cymbalarietalia,Cymbalario-Parietarietea diffusae,VEGETATION OF ROCK CREVICES AND SCREES,Yes,Yes,No relationship,J2.5 - Constructed boundaries 
Centrantho-Hypericetum hircini,Galio valantiae-Parietarion judaicae,Tortulo-Cymbalarietalia,Cymbalario-Parietarietea diffusae,VEGETATION OF ROCK CREVICES AND SCREES,Yes,Yes,U38,J2.5 - Constructed boundaries 
Hedero-Polypodietum cambrici,Galio valantiae-Parietarion judaicae,Tortulo-Cymbalarietalia,Cymbalario-Parietarietea diffusae,VEGETATION OF ROCK CREVICES AND SCREES,Yes,Yes,U38,J2.5 - Constructed boundaries 
Oxalido-Parietarietum,Galio valantiae-Parietarion judaicae,Tortulo-Cymbalarietalia,Cymbalario-Parietarietea diffusae,VEGETATION OF ROCK CREVICES AND SCREES,Yes,Yes,U38,J2.5 - Constructed boundaries 
Oxali-Parietarietum diffusae,Galio valantiae-Parietarion judaicae,Tortulo-Cymbalarietalia,Cymbalario-Parietarietea diffusae,VEGETATION OF ROCK CREVICES AND SCREES,Yes,Yes,U38,J2.5 - Constructed boundaries 
