"Relevé number","SIVIMID","Original.Taxon","Analysis.Names","Cover","Cover.percent"
"1","NEW-OMAR-BA02","Antirrhinum braun-blanquetii","Antirrhinum braun-blanquetii","+",1
"1","NEW-OMAR-BA02","Eupatorium cannabinum","Eupatorium cannabinum","+",1
"1","NEW-OMAR-BA02","Lactuca serriola ","Lactuca serriola","1",5
"1","NEW-OMAR-BA02","Salix × erythroclados","Salix x eriophora","+",1
"1","NEW-OMAR-BA02","Daucus carota","Daucus carota","1",5
"1","NEW-OMAR-BA02","Verbena officinalis","Verbena officinalis","+",1
"1","NEW-OMAR-BA02","Symphyotrichum squamatum","Symphyotrichum squamatum","1",5
"1","NEW-OMAR-BA02","Centaurium erythraea","Centaurium erythraea","1",5
"1","NEW-OMAR-BA02","Trifolium strictum","Trifolium strictum","+",1
"1","NEW-OMAR-BA02","Rumex crispus","Rumex crispus","+",1
"1","NEW-OMAR-BA02","Chenopodium ambrosioides","Dysphania ambrosioides","1",5
"1","NEW-OMAR-BA02","Allium sphaerocephalon","Allium sphaerocephalon","+",1
"1","NEW-OMAR-BA02","Trifolium arvense","Trifolium arvense","+",1
"1","NEW-OMAR-BA02","Vulpia myuros","Vulpia myuros","+",1
"1","NEW-OMAR-BA02","Dittrichia graveolens","Dittrichia graveolens","1",5
"1","NEW-OMAR-BA02","Cirsium vulgare ","Cirsium vulgare","1",5
"1","NEW-OMAR-BA02","Medicago lupulina","Medicago lupulina","1",5
"1","NEW-OMAR-BA02","Ononis reclinata subsp. reclinata","Ononis reclinata","+",1
"1","NEW-OMAR-BA02","Hypericum perforatum","Hypericum perforatum","1",5
"1","NEW-OMAR-BA02","Mentha suaveolens","Mentha suaveolens","1",5
"1","NEW-OMAR-BA02","Hirschfeldia incana ","Hirschfeldia incana","3",37.5
"1","NEW-OMAR-BA02","Artemisia vulgaris","Artemisia vulgaris","+",1
"1","NEW-OMAR-BA02","Salix atrocinerea","Salix cinerea subsp. oleifolia","+",1
"1","NEW-OMAR-BA02","Solanum dulcamara","Solanum dulcamara","+",1
"1","NEW-OMAR-BA02","Leontodon gr. taraxacoides","Leontodon saxatilis","1",5
"1","NEW-OMAR-BA02","Blackstonia perfoliata ","Blackstonia perfoliata","1",5
"1","NEW-OMAR-BA02","Lotus corniculatus subsp. corniculatus","Lotus corniculatus","+",1
"1","NEW-OMAR-BA02","Dactylis glomerata","Dactylis glomerata","+",1
"1","NEW-OMAR-BA02","Arctium minus","Arctium minus","1",5
"1","NEW-OMAR-BA02","Juncus inflexus","Juncus inflexus","+",1
"1","NEW-OMAR-BA02","Holcus lanatus ","Holcus lanatus","+",1
"1","NEW-OMAR-BA02","Trifolium repens","Trifolium repens","1",5
"1","NEW-OMAR-BA02","Sonchus oleraceus","Sonchus oleraceus","+",1
"1","NEW-OMAR-BA02","Potentilla reptans","Potentilla reptans","1",5
"1","NEW-OMAR-BA02","Anagallis arvensis","Anagallis arvensis","1",5
"1","NEW-OMAR-BA02","Juncus conglomeratus","Juncus conglomeratus","1",5
"1","NEW-OMAR-BA02","Melilotus indicus","Melilotus indicus","1",5
"1","NEW-OMAR-BA02","Dipsacus fullonum","Dipsacus fullonum","1",5
"1","NEW-OMAR-BA02","Juncus bufonius","Juncus bufonius","+",1
"1","NEW-OMAR-BA02","Hypochaeris radicata ","Hypochaeris radicata","+",1
"1","NEW-OMAR-BA02","Melilotus albus","Melilotus albus","+",1
"1","NEW-OMAR-BA02","Plantago major","Plantago major","1",5
"1","NEW-OMAR-BA02","Juncus articulatus","Juncus articulatus","+",1
"1","NEW-OMAR-BA02","Lolium perenne ","Lolium perenne","1",5
"1","NEW-OMAR-BA02","Helminthotheca echioides","Helminthotheca echioides","+",1
"1","NEW-OMAR-BA02","Piptatherum miliaceum ","Piptatherum miliaceum","3",37.5
"1","NEW-OMAR-BA02","Erigeron bonariensis","Erigeron bonariensis","2",15
"1","NEW-OMAR-BA02","Verbascum pulverulentum ","Verbascum pulverulentum","+",1
"1","NEW-OMAR-BA02","Scrophularia auriculata subsp. auriculata","Scrophularia auriculata","2",15
"1","NEW-OMAR-BA02","Ceratochloa cathartica","Ceratochloa cathartica","+",1
"1","NEW-OMAR-BA02","Trifolium campestre ","Trifolium campestre","+",1
"1","NEW-OMAR-BA02","Agrostis canina","Agrostis canina","3",37.5
"1","NEW-OMAR-BA02","Plantago lanceolata ","Plantago lanceolata","1",5
