"Relevé number","SIVIMID","Original.Taxon","Analysis.Names","Cover","Cover.percent"
"1","NEW-OMAR-BA12","Epilobium parviflorum","Epilobium parviflorum","+",1
"1","NEW-OMAR-BA12","Lolium multiflorum","Lolium multiflorum","2",15
"1","NEW-OMAR-BA12","Euphorbia platyphyllos","Euphorbia platyphyllos","1",5
"1","NEW-OMAR-BA12","Rumex crispus","Rumex crispus","+",1
"1","NEW-OMAR-BA12","Anisantha rigida","Anisantha rigida","1",5
"1","NEW-OMAR-BA12","Taraxacum gr. officinale","Taraxacum","+",1
"1","NEW-OMAR-BA12","Piptatherum miliaceum ","Piptatherum miliaceum","2",15
"1","NEW-OMAR-BA12","Schedonorus arundinaceus","Schedonorus arundinaceus","1",5
"1","NEW-OMAR-BA12","Polypogon monspeliensis","Polypogon monspeliensis","+",1
"1","NEW-OMAR-BA12","Erigeron canadensis","Erigeron canadensis","+",1
"1","NEW-OMAR-BA12","Galium aparine","Galium aparine","1",5
"1","NEW-OMAR-BA12","Holcus lanatus ","Holcus lanatus","2",15
"1","NEW-OMAR-BA12","Medicago lupulina","Medicago lupulina","1",5
"1","NEW-OMAR-BA12","Conium maculatum","Conium maculatum","+",1
"1","NEW-OMAR-BA12","Artemisia vulgaris","Artemisia vulgaris","1",5
"1","NEW-OMAR-BA12","Ceratochloa cathartica","Ceratochloa cathartica","1",5
"1","NEW-OMAR-BA12","Melilotus albus","Melilotus albus","1",5
"1","NEW-OMAR-BA12","Inula montana","Inula montana","1",5
"1","NEW-OMAR-BA12","Centranthus calcitrapae","Centranthus calcitrapae","1",5
"1","NEW-OMAR-BA12","Anisantha diandra","Anisantha diandra","+",1
"1","NEW-OMAR-BA12","Daucus carota","Daucus carota","1",5
"1","NEW-OMAR-BA12","Rubus ulmifolius ","Rubus ulmifolius","+",1
"1","NEW-OMAR-BA12","Hirschfeldia incana ","Hirschfeldia incana","2",15
"1","NEW-OMAR-BA12","Avena barbata","Avena barbata","+",1
"1","NEW-OMAR-BA12","Geranium purpureum","Geranium purpureum","1",5
"1","NEW-OMAR-BA12","Lactuca serriola ","Lactuca serriola","+",1
"1","NEW-OMAR-BA12","Ochlopoa annua","Ochlopoa annua","1",5
"1","NEW-OMAR-BA12","Dactylis glomerata","Dactylis glomerata","1",5
"1","NEW-OMAR-BA12","Plantago major","Plantago major","+",1
"1","NEW-OMAR-BA12","Cirsium vulgare ","Cirsium vulgare","1",5
"2","NEW-OMAR-BA13","Anisantha diandra","Anisantha diandra","1",5
"2","NEW-OMAR-BA13","Melilotus albus","Melilotus albus","1",5
"2","NEW-OMAR-BA13","Anisantha rigida","Anisantha rigida","1",5
"2","NEW-OMAR-BA13","Urtica dioica","Urtica dioica","1",5
"2","NEW-OMAR-BA13","Solanum dulcamara","Solanum dulcamara","+",1
