Authors	Year	Title	Publication
"Aedo Perez, Carlos"	1985	Estudio de la flora y vegetación de la comarca de San Vicente de la Barquera (Cantabria).	 Memoria de Licenciatura. Universidad de Oviedo. 217
"Aedo, Carlos; Herrera, Mercedes; F. Prieto, José Antonio & Díaz, Tomás, E."	1986	Datos sobre la vegetación arvense de la Cornisa Cantábrica.	" Lazaroa, 9: 241-254."
"Alonso, Raquel"	2002	Valoración del estado de conservación de la vegetación y propuestas de ordenación y uso del territorio de la margen izquierda de la cuenca alta del río Esla (León).	 Servicio de publicaciones de la Universidad de
"Alves, P.; Honrado, J.; Barreto Caldas, F."	2003	A vegetação escio-nitrófila vivaz (Classe Galio-Urticetea) do noroeste de Portugal continental: Allio triquetri-Urticetum membranaceae ass. nova.	Studia Bot. 22:
"Amigo Vázquez, J. & Romero Buján, M.I."	1997	'Comportamiento fitosociológico de Smyrnium olusatrum L. en el noroeste ibérico'.	"Lazaroa, 18: 153-164."
"Amigo, Javier"	2006	"Los herbazales terofíticos hidronitrófilos en el noroeste de la Península Ibérica (Bidentetea tripartitae Tüxen, Lohmeyer & Preising ex von Rochow 1951)"	" Lazaroa, 27:"
"Bellot Rodríguez, Francisco"	1966	La vegetación de Galicia.	" Anales Inst. Bot. Cavanilles, 24: 5-306."
"Berastegi, A."	2010	"Prados y pastizales en Navarra. Descripción, tipificación y ecología."	Tesis doctoral. Universidad del País Vasco. 584
"Biurrun, I."	1999	Flora y vegetación de los ríos y humedales de Navarra.	" Guineana, 5: 1-338."
"Biurrun, Idoia ; García-Mijangos, Itziar ; Benito Crespo, Manuel ; Fernández-González, Federico"	2008	Los herbazales higronitrófilos de Epilobium hirsutum y Mentha longifolia en los cursos fluviales de la Península Ibérica	 Lazaroa 29:
"Braun-Blanquet, J."	1966	Vegetationsskizzen aus dem baskenland mit ausblicken auf das weitere Ibero-Atlantikum. I. teil.	" Vegetatio, 13:117-147. Den"
