Alliance,Species,Type,Value
Aegopodion podagrariae,Urtica dioica,Constant,100
Aegopodion podagrariae,Anthriscus sylvestris,Constant,100
Aegopodion podagrariae,Galium aparine,Constant,97.05882353
Aegopodion podagrariae,Heracleum sphondylium,Constant,79.41176471
Aegopodion podagrariae,Anisantha sterilis,Constant,67.64705882
Aegopodion podagrariae,Geranium pyrenaicum,Constant,58.82352941
Aegopodion podagrariae,Lamium maculatum,Constant,50
Aegopodion podagrariae,Rumex obtusifolius,Constant,50
Aegopodion podagrariae,Anthriscus sylvestris,Diagnostic,97.58414838
Aegopodion podagrariae,Heracleum sphondylium,Diagnostic,58.05970819
Aegopodion podagrariae,Galium aparine,Diagnostic,34.15140113
Aegopodion podagrariae,Anthriscus sylvestris,Dominant,97.05882353
Aegopodion podagrariae,Urtica dioica,Dominant,38.23529412
Aegopodion podagrariae,Galium aparine,Dominant,26.47058824
Allion triquetri,Urtica membranacea,Constant,67.85714286
Allion triquetri,Sonchus oleraceus,Constant,58.92857143
Allion triquetri,Urtica membranacea,Diagnostic,64.401829
Allion triquetri,Smyrnium olusatrum,Diagnostic,45.56764687
Allion triquetri,Tradescantia fluminensis,Diagnostic,34.79456552
Allion triquetri,Smyrnium olusatrum,Dominant,46.42857143
Allion triquetri,Urtica membranacea,Dominant,44.64285714
Allion triquetri,Tradescantia fluminensis,Dominant,14.28571429
Allion triquetri,Urtica dioica,Dominant,10.71428571
Allion triquetri,Allium triquetrum,Dominant,7.142857143
Arction lappae,Urtica dioica,Constant,89.28571429
Arction lappae,Oxybasis rubra,Constant,64.28571429
Arction lappae,Senecio duriaei,Constant,57.14285714
Arction lappae,Oxybasis rubra,Diagnostic,63.40706763
Arction lappae,Senecio duriaei,Diagnostic,53.8427255
Arction lappae,Oxybasis rubra,Dominant,33.92857143
Arction lappae,Senecio duriaei,Dominant,14.28571429
Arction lappae,Urtica dioica,Dominant,10.71428571
Arction lappae,Blitum bonus-henricus,Dominant,7.142857143
Balloto-Conion maculati,Urtica dioica,Constant,96.06299213
Balloto-Conion maculati,Sambucus ebulus,Constant,81.88976378
Balloto-Conion maculati,Galium aparine,Constant,74.80314961
Balloto-Conion maculati,Sambucus ebulus,Diagnostic,74.4541966
Balloto-Conion maculati,Sambucus ebulus,Dominant,59.05511811
Balloto-Conion maculati,Urtica dioica,Dominant,27.55905512
Balloto-Conion maculati,Conium maculatum,Dominant,22.04724409
Balloto-Conion maculati,Galium aparine,Dominant,10.23622047
Bidention tripartitae,Lythrum salicaria,Constant,87.23404255
Bidention tripartitae,Persicaria hydropiper,Constant,80.85106383
Bidention tripartitae,Bidens frondosus,Constant,70.21276596
Bidention tripartitae,Helosciadium nodiflorum,Constant,59.57446809
