Alliance,CANTEUNIS,Species,Type,Value
Allion triquetri,V37Z,Urtica membranacea,Constant,67.85714286
Allion triquetri,V37Z,Sonchus oleraceus,Constant,58.92857143
Allion triquetri,V37Z,Urtica membranacea,Diagnostic,64.10404948
Allion triquetri,V37Z,Smyrnium olusatrum,Diagnostic,46.15511129
Allion triquetri,V37Z,Tradescantia fluminensis,Diagnostic,35.22279613
Allion triquetri,V37Z,Allium triquetrum,Diagnostic,33.92857143
Allion triquetri,V37Z,Arum italicum,Diagnostic,29.21639116
Allion triquetri,V37Z,Chelidonium majus,Diagnostic,21.53059951
Allion triquetri,V37Z,Smyrnium olusatrum,Dominant,46.42857143
Allion triquetri,V37Z,Urtica membranacea,Dominant,44.64285714
Allion triquetri,V37Z,Tradescantia fluminensis,Dominant,14.28571429
Allion triquetri,V37Z,Urtica dioica,Dominant,10.71428571
Allion triquetri,V37Z,Allium triquetrum,Dominant,7.142857143
Arction lappae,V39Y,Urtica dioica,Constant,87.5
Arction lappae,V39Y,Oxybasis rubra,Constant,77.5
Arction lappae,V39Y,Senecio duriaei,Constant,72.5
Arction lappae,V39Y,Oxybasis rubra,Diagnostic,76.4901082
Arction lappae,V39Y,Senecio duriaei,Diagnostic,69.18860725
Arction lappae,V39Y,Cytisus oromediterraneus,Diagnostic,17.5
Arction lappae,V39Y,Oxybasis rubra,Dominant,47.5
Arction lappae,V39Y,Senecio duriaei,Dominant,20
Arction lappae,V39Y,Blitum bonus-henricus,Dominant,7.5
Arction lappae,V39Y,Urtica dioica,Dominant,7.5
Balloto-Conion maculati,V39X,Urtica dioica,Constant,94.48275862
Balloto-Conion maculati,V39X,Galium aparine,Constant,75.86206897
Balloto-Conion maculati,V39X,Sambucus ebulus,Constant,71.72413793
Balloto-Conion maculati,V39X,Sambucus ebulus,Diagnostic,70.06688051
Balloto-Conion maculati,V39X,Conium maculatum,Diagnostic,30.30553279
Balloto-Conion maculati,V39X,Sambucus ebulus,Dominant,52.4137931
Balloto-Conion maculati,V39X,Conium maculatum,Dominant,29.65517241
Balloto-Conion maculati,V39X,Urtica dioica,Dominant,24.13793103
Balloto-Conion maculati,V39X,Galium aparine,Dominant,11.72413793
Bidention tripartitae,Q61Z,Lythrum salicaria,Constant,100
Bidention tripartitae,Q61Z,Persicaria hydropiper,Constant,100
Bidention tripartitae,Q61Z,Bidens frondosus,Constant,96.96969697
Bidention tripartitae,Q61Z,Phalaroides arundinacea,Constant,75.75757576
Bidention tripartitae,Q61Z,Cyperus eragrostis,Constant,72.72727273
Bidention tripartitae,Q61Z,Lycopus europaeus,Constant,72.72727273
Bidention tripartitae,Q61Z,Helosciadium nodiflorum,Constant,60.60606061
Bidention tripartitae,Q61Z,Dysphania ambrosioides,Constant,57.57575758
Bidention tripartitae,Q61Z,Rumex obtusifolius,Constant,57.57575758
Bidention tripartitae,Q61Z,Persicaria hydropiper,Diagnostic,99.5958135
Bidention tripartitae,Q61Z,Bidens frondosus,Diagnostic,96.9170961
Bidention tripartitae,Q61Z,Lythrum salicaria,Diagnostic,77.43444376
Bidention tripartitae,Q61Z,Phalaroides arundinacea,Diagnostic,74.72024317
Bidention tripartitae,Q61Z,Cyperus eragrostis,Diagnostic,70.20233123
Bidention tripartitae,Q61Z,Helosciadium nodiflorum,Diagnostic,58.236003
Bidention tripartitae,Q61Z,Dysphania ambrosioides,Diagnostic,55.40099933
Bidention tripartitae,Q61Z,Lycopus europaeus,Diagnostic,49.97051441
Bidention tripartitae,Q61Z,Xanthium orientale,Diagnostic,45.45454545
Bidention tripartitae,Q61Z,Agrostis stolonifera,Diagnostic,39.04176416
Bidention tripartitae,Q61Z,Artemisia verlotiorum,Diagnostic,39.00259154
Bidention tripartitae,Q61Z,Mentha pulegium,Diagnostic,37.02199024
Bidention tripartitae,Q61Z,Solanum chenopodioides,Diagnostic,30.3030303
Bidention tripartitae,Q61Z,Galium palustre,Diagnostic,27.27272727
Bidention tripartitae,Q61Z,Symphyotrichum squamatum,Diagnostic,26.47762804
Bidention tripartitae,Q61Z,Veronica beccabunga,Diagnostic,24.24242424
Bidention tripartitae,Q61Z,Cuscuta campestris,Diagnostic,24.24242424
Bidention tripartitae,Q61Z,Leersia oryzoides,Diagnostic,24.01438781
Bidention tripartitae,Q61Z,Setaria parviflora,Diagnostic,21.21212121
Bidention tripartitae,Q61Z,Galinsoga quadriradiata,Diagnostic,20.95170455
Bidention tripartitae,Q61Z,Setaria faberi,Diagnostic,18.18181818
Bidention tripartitae,Q61Z,Bidens frondosus,Dominant,84.84848485
Bidention tripartitae,Q61Z,Persicaria hydropiper,Dominant,75.75757576
Bidention tripartitae,Q61Z,Xanthium orientale,Dominant,27.27272727
Bidention tripartitae,Q61Z,Artemisia verlotiorum,Dominant,12.12121212
Bidention tripartitae,Q61Z,Lythrum salicaria,Dominant,12.12121212
Bidention tripartitae,Q61Z,Dysphania ambrosioides,Dominant,6.060606061
Bidention tripartitae,Q61Z,Helosciadium nodiflorum,Dominant,6.060606061
Bidention tripartitae,Q61Z,Symphyotrichum squamatum,Dominant,6.060606061
Carduo carpetani-Cirsion odontolepidis,V38Y,Onopordum acanthium,Constant,93.47826087
Carduo carpetani-Cirsion odontolepidis,V38Y,Carduus carpetanus,Constant,65.2173913
Carduo carpetani-Cirsion odontolepidis,V38Y,Echium vulgare,Constant,63.04347826
Carduo carpetani-Cirsion odontolepidis,V38Y,Dipsacus fullonum,Constant,56.52173913
Carduo carpetani-Cirsion odontolepidis,V38Y,Lactuca virosa,Constant,54.34782609
Carduo carpetani-Cirsion odontolepidis,V38Y,Rumex crispus,Constant,50
Carduo carpetani-Cirsion odontolepidis,V38Y,Onopordum acanthium,Diagnostic,90.00202038
Carduo carpetani-Cirsion odontolepidis,V38Y,Reseda luteola,Diagnostic,30.04184876
Carduo carpetani-Cirsion odontolepidis,V38Y,Verbascum pulverulentum,Diagnostic,28.17032521
Carduo carpetani-Cirsion odontolepidis,V38Y,Lactuca virosa,Diagnostic,25.34965609
Carduo carpetani-Cirsion odontolepidis,V38Y,Echium vulgare,Diagnostic,24.58332696
Carduo carpetani-Cirsion odontolepidis,V38Y,Onopordum acanthium,Dominant,45.65217391
Carduo carpetani-Cirsion odontolepidis,V38Y,Echium vulgare,Dominant,6.52173913
Carduo carpetani-Cirsion odontolepidis,V38Y,Carduus carpetanus,Dominant,6.52173913
Chenopodion muralis,V37X,Malva neglecta,Constant,87.5
Chenopodion muralis,V37X,Polygonum aviculare,Constant,68.75
Chenopodion muralis,V37X,Plantago lanceolata,Constant,56.25
Chenopodion muralis,V37X,Urtica urens,Constant,56.25
Chenopodion muralis,V37X,Ochlopoa annua,Constant,50
Chenopodion muralis,V37X,Malva neglecta,Diagnostic,76.34120518
Chenopodion muralis,V37X,Urtica urens,Diagnostic,54.46286075
Chenopodion muralis,V37X,Amaranthus deflexus,Diagnostic,36.37224723
