"SIVIMID","DCA1","DCA2","Cluster","EUNIS","Class","Relevé.number","Temp","Precip","UTM10X10","UTM1X1","JuiceID","OriginalElevation","Locality","Country","ECOREG_WWF","DUNES_BOHN","Plant.Cover","Aspect","Slope","Area","SintaxonID","Sintaxon","Authors","Year","Title","Publication","EUNIS2020","Type","DEG_LON","DEG_LAT","Accuracy","Elevation"
"P-P22132",-0.0100693308400486,-0.0508180647640226,"12","V",5,122132,NA,NA,"30TXP31","",6266,5,"France. Pyrenées-Atlantiques, Briscous, ouest d'Etchecolou","FR","ATL_COAST","N_DUNES",80,"",0,400,"9215","Allio vineale-Ranunculetum sardoi","Lazare, J.J.","2005","Miscellanées phytosociologiques.","J. Bot. Soc. Bot. France 31:"," V     ","No forest",-1.319948701,43.43290349,"3 - UTM10x10 + Elevation",5
"Q-P02779",-0.107192985469979,0.382449209549504,"13","?",1,202779,145,12079,"30TVP31","",6272,NA,"Santander","","ATL_COAST","N_DUNES",NA,"",NA,20,"93","Oxalido-Parietarietum","Rivas Martínez, S.","1969","Vegetatio Hispaniae. Notula I."," Publ. Inst. Biol. Apl., XLVI: 5-34.","      ?","No forest",-3.821186692,43.46727446,"4 - UTM10x10 + Centroid",21
"Q-P02783",-0.0384322065086141,0.42041258654656,"13","V15",4,202783,102,11203,"30TVN26","",6275,NA,"Piquio (Santander)","","ATL_COAST","N_DUNES",NA,"",NA,10,"93","Oxalido-Parietarietum","Rivas Martínez, S.","1969","Vegetatio Hispaniae. Notula I."," Publ. Inst. Biol. Apl., XLVI: 5-34."," V15   ","No forest",-3.919741838,43.03362154,"4 - UTM10x10 + Centroid",839
"Q-P02785",-0.0853276028505183,0.299754655763649,"13","?",1,202785,122,15444,"30TWN68","",6277,NA,"Cestona (Guipúzcoa)","","ATL_COAST","N_DUNES",NA,"",NA,20,"772","Centrantho-Hypericetum hircini","Rivas Martínez, S.","1969","Vegetatio Hispaniae. Notula I."," Publ. Inst. Biol. Apl., XLVI: 5-34.","      ?","No forest",-2.198835209,43.21460969,"4 - UTM10x10 + Centroid",313
"Q-P02786",-0.0947165805279562,0.338818636118899,"13","?",1,202786,122,15444,"30TWN68","",6278,NA,"De Zumaya a Cestona (Guipúzcoa)","","ATL_COAST","N_DUNES",NA,"",NA,10,"772","Centrantho-Hypericetum hircini","Rivas Martínez, S.","1969","Vegetatio Hispaniae. Notula I."," Publ. Inst. Biol. Apl., XLVI: 5-34.","      ?","No forest",-2.198835209,43.21460969,"4 - UTM10x10 + Centroid",313
"Q-P02788",-0.105575965017066,0.380912817925166,"13","?",1,202788,138,16126,"30TWN69","",6280,NA,"Zarauz (Guipúzcoa)","","ATL_COAST","N_DUNES",NA,"",NA,10,"772","Centrantho-Hypericetum hircini","Rivas Martínez, S.","1969","Vegetatio Hispaniae. Notula I."," Publ. Inst. Biol. Apl., XLVI: 5-34.","      ?","No forest",-2.204357764,43.28045619,"4 - UTM10x10 + Centroid",82
"Q-P02792",-0.1198891094875,0.425620434752995,"13","?",1,202792,137,20371,"29TNH24","",6284,NA,"Catedral de Santiago de Compostela (Coruña)","","ATL_COAST","N_DUNES",NA,"",NA,50,"1582","Cymbalario-Trachelietum caerulei","Rivas Martínez, S.","1969","Vegetatio Hispaniae. Notula I."," Publ. Inst. Biol. Apl., XLVI: 5-34.","      ?","No forest",-8.693960952,42.8571451,"4 - UTM10x10 + Centroid",202
"Q-P02793",-0.120564966333472,0.428890989007943,"13","?",1,202793,137,20371,"29TNH24","",6285,NA,"Facultad de Farmacia de Santiago de Compostela (Coruña)","","ATL_COAST","N_DUNES",NA,"",NA,50,"1582","Cymbalario-Trachelietum caerulei","Rivas Martínez, S.","1969","Vegetatio Hispaniae. Notula I."," Publ. Inst. Biol. Apl., XLVI: 5-34.","      ?","No forest",-8.693960952,42.8571451,"4 - UTM10x10 + Centroid",202
"Q-P02794",-0.0973932138708097,0.332151027596642,"13","?",1,202794,131,19441,"29TNH25","",6286,NA,"Carretera de Portomouro, Santiago (Coruña)","","ATL_COAST","N_DUNES",NA,"",NA,100,"1582","Cymbalario-Trachelietum caerulei","Rivas Martínez, S.","1969","Vegetatio Hispaniae. Notula I."," Publ. Inst. Biol. Apl., XLVI: 5-34.","      ?","No forest",-8.693537785,42.9471732,"4 - UTM10x10 + Centroid",275
"Q-P07010",0.00419597255088322,0.344004048223556,"5","V32",5,207010,140,12408,"30TUP80","",27674,NA,"El Rosal","ES","ATL_COAST","N_DUNES",NA,"",NA,2,"5825","Comunidad de Elymus pycnanthus (Agropyron pycnanthum) y Atriplex hastata","Aedo Perez, Carlos","1985","Estudio de la flora y vegetación de la comarca de San Vicente de la Barquera (Cantabria)."," Memoria de Licenciatura. Universidad de Oviedo. 217"," V32   ","No forest",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59
