"Releve number","Twinspan2","Class","EUNIS","Sintaxon","SIVIMID","Plant.Cover","Aspect","Slope","Area","Year","DEG_LON","DEG_LAT","Accuracy","Elevation"
122132,"Weeds (V15)",5,"V","Allio vineale-Ranunculetum sardoi","P-P22132",80,"",0,400,"2005",-1.319948701,43.43290349,"3 - UTM10x10 + Elevation",5
202779,"Walls",1,"?","Oxalido-Parietarietum","Q-P02779",NA,"",NA,20,"1969",-3.821186692,43.46727446,"4 - UTM10x10 + Centroid",21
202783,"Weeds (V15)",4,"V15","Oxalido-Parietarietum","Q-P02783",NA,"",NA,10,"1969",-3.919741838,43.03362154,"4 - UTM10x10 + Centroid",839
202785,"Walls",1,"?","Centrantho-Hypericetum hircini","Q-P02785",NA,"",NA,20,"1969",-2.198835209,43.21460969,"4 - UTM10x10 + Centroid",313
202786,"Walls",1,"?","Centrantho-Hypericetum hircini","Q-P02786",NA,"",NA,10,"1969",-2.198835209,43.21460969,"4 - UTM10x10 + Centroid",313
202788,"Walls",1,"?","Centrantho-Hypericetum hircini","Q-P02788",NA,"",NA,10,"1969",-2.204357764,43.28045619,"4 - UTM10x10 + Centroid",82
202792,"Walls",1,"?","Cymbalario-Trachelietum caerulei","Q-P02792",NA,"",NA,50,"1969",-8.693960952,42.8571451,"4 - UTM10x10 + Centroid",202
202793,"Walls",1,"?","Cymbalario-Trachelietum caerulei","Q-P02793",NA,"",NA,50,"1969",-8.693960952,42.8571451,"4 - UTM10x10 + Centroid",202
202794,"Walls",1,"?","Cymbalario-Trachelietum caerulei","Q-P02794",NA,"",NA,100,"1969",-8.693537785,42.9471732,"4 - UTM10x10 + Centroid",275
207031,"Walls",1,"?","Parietarietum judaicae","Q-P07031",NA,"",NA,10,"1985",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59
207042,"Weeds (V15)",5,"V32","Sisymbrio officinalis-Hordeetum murini","Q-P07042",NA,"",NA,15,"1985",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59
207045,"Weeds (V15)",9,"V37","Oxalidi latifoliae-Veronicetum persicae","Q-P07045",NA,"",NA,20,"1985",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59
207050,"Trampled (V35)",5,"V32","Comunidad de Spergularia boccomii y Sagina apetala","Q-P07050",NA,"",NA,1,"1985",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59
207051,"Trampled (V35)",5,"V32","Comunidad de Spergularia boccomii y Sagina apetala","Q-P07051",NA,"",NA,2,"1985",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59
207736,"Weeds (V15)",5,"V","Associació-Desconeguda","Q-P07736",NA,"",NA,NA,"1953",-7.089128404,43.53843902,"4 - UTM10x10 + Centroid",40
207737,"Weeds (V15)",4,"V15","Associació-Desconeguda","Q-P07737",NA,"",NA,NA,"1953",-7.089128404,43.53843902,"4 - UTM10x10 + Centroid",40
207763,"Weeds (V15)",9,"V37","Associació-Desconeguda","Q-P07763",NA,"",NA,100,"1953",-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43
207764,"Weeds (V15)",4,"V15","Associació-Desconeguda","Q-P07764",NA,"",NA,100,"1953",-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43
207765,"Weeds (V15)",9,"V37","Associació-Desconeguda","Q-P07765",NA,"",NA,100,"1953",-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43
207766,"Weeds (V15)",9,"V37","Associació-Desconeguda","Q-P07766",NA,"",NA,100,"1953",-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43
207767,"Weeds (V15)",9,"V37","Associació-Desconeguda","Q-P07767",NA,"",NA,100,"1953",-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43
207847,"Weeds (V15)",5,"V","Associació-Desconeguda","Q-P07847",NA,"",NA,NA,"1953",-4.047456892,43.39183754,"4 - UTM10x10 + Centroid",49
207849,"Weeds (V15)",4,"V15","Associació-Desconeguda","Q-P07849",NA,"",NA,NA,"1953",-4.116472128,42.87622565,"4 - UTM10x10 + Centroid",999.5
207850,"Weeds (V15)",5,"V","Associació-Desconeguda","Q-P07850",NA,"",NA,NA,"1953",-4.116472128,42.87622565,"4 - UTM10x10 + Centroid",999.5
207851,"Weeds (V15)",4,"V15","Associació-Desconeguda","Q-P07851",NA,"",NA,NA,"1953",-4.116472128,42.87622565,"4 - UTM10x10 + Centroid",999.5
207852,"Weeds (V15)",4,"V15","Associació-Desconeguda","Q-P07852",NA,"",NA,NA,"1953",-4.116472128,42.87622565,"4 - UTM10x10 + Centroid",999.5
207905,"Trampled (V35)",5,"?","Associació-Desconeguda","Q-P07905",NA,"",NA,NA,"1953",-3.924415113,43.39322181,"4 - UTM10x10 + Centroid",64
208150,"Trampled (V35)",8,"V35","Polycarpo tetraphylli-Coronopodetum squamati","Q-P08150",NA,"",NA,1,"2004",-8.555662357,41.10094791,"3 - UTM10x10 + Elevation",40
208170,"Weeds (V15)",5,"V32","Chenopodio muralis-Malvetum parviflorae","Q-P08170",NA,"S",NA,2,"2004",-8.583023967,41.14560961,"4 - UTM10x10 + Centroid",350
208361,"Weeds (V15)",5,"V32","Chenopodio muralis-Malvetum parviflorae","Q-P08361",NA,"S",NA,2,"2003",-8.583023967,41.14560961,"4 - UTM10x10 + Centroid",350
208687,"Mesic ruderals (V39)",5,"V32","Alliarion petiolatae","Q-P08687",100,"",NA,15,"1990",-4.602567992,42.90454586,"3 - UTM10x10 + Elevation",1160
208735,"Weeds (V15)",4,"V15","Centaureo cyani-Raphanetum microcarpae","Q-P08735",100,"",NA,40,"1990",-4.490192325,42.81601335,"3 - UTM10x10 + Elevation",1090
208736,"Weeds (V15)",4,"V15","Centaureo cyani-Raphanetum microcarpae","Q-P08736",100,"",NA,40,"1990",-4.509713355,42.81395656,"3 - UTM10x10 + Elevation",1040
208737,"Weeds (V15)",4,"V15","Centaureo cyani-Raphanetum microcarpae","Q-P08737",80,"",NA,40,"1990",-4.675998898,42.81164292,"3 - UTM10x10 + Elevation",1120
208738,"Weeds (V15)",4,"V15","Centaureo cyani-Raphanetum microcarpae","Q-P08738",40,"",NA,40,"1990",-4.504996992,42.82122277,"3 - UTM10x10 + Elevation",1110
208739,"Weeds (V15)",4,"V15","Centaureo cyani-Raphanetum microcarpae","Q-P08739",50,"",NA,80,"1990",-4.77611585,42.9334869,"4 - UTM10x10 + Centroid",1020
208740,"Mesic ruderals (V39)",4,"V15","Centaureo cyani-Raphanetum microcarpae","Q-P08740",100,"",NA,20,"1990",-4.528495991,42.84729103,"4 - UTM10x10 + Centroid",970
208741,"Weeds (V15)",4,"V15","Centaureo cyani-Raphanetum microcarpae","Q-P08741",50,"",NA,20,"1990",-4.61429613,42.88457007,"3 - UTM10x10 + Elevation",1130
