"Releve.number","SIVIMID","Original.Taxon","Analysis.Names","Cover","Cover.percent"
122132,"P-P22132","Agrostis stolonifera","Agrostis stolonifera","1",5
122132,"P-P22132","Allium vineale","Allium vineale","1",5
122132,"P-P22132","Barbarea intermedia","Barbarea intermedia","+",1
122132,"P-P22132","Cardamine hirsuta","Cardamine hirsuta","1",5
122132,"P-P22132","Cerastium glomeratum","Cerastium glomeratum","1",5
122132,"P-P22132","Geranium dissectum","Geranium dissectum","+",1
122132,"P-P22132","Glyceria declinata","Glyceria declinata","1",5
122132,"P-P22132","Poa annua","Ochlopoa annua","2",15
122132,"P-P22132","Ranunculus acris","Ranunculus acris","+",1
122132,"P-P22132","Ranunculus repens","Ranunculus repens","+",1
122132,"P-P22132","Ranunculus sardous","Ranunculus sardous","4",62.5
122132,"P-P22132","Sonchus asper","Sonchus asper","1",5
122132,"P-P22132","Trifolium repens","Trifolium repens","+",1
202779,"Q-P02779","Anagallis arvensis","Anagallis arvensis","+",1
202779,"Q-P02779","Ceterach officinarum","Asplenium ceterach","1",5
202779,"Q-P02779","Asplenium trichomanes","Asplenium trichomanes","+",1
202779,"Q-P02779","Cymbalaria muralis","Cymbalaria muralis","3",37.5
202779,"Q-P02779","Geranium robertianum","Geranium robertianum","1",5
202779,"Q-P02779","Parietaria diffusa","Parietaria judaica","+",1
202779,"Q-P02779","Polypodium australe","Polypodium cambricum","+",1
202783,"Q-P02783","Anagallis arvensis","Anagallis arvensis","+",1
202783,"Q-P02783","Asplenium marinum","Asplenium marinum","+",1
202783,"Q-P02783","Crithmum maritimum","Crithmum maritimum","3",37.5
202783,"Q-P02783","Cymbalaria muralis","Cymbalaria muralis","1",5
202783,"Q-P02783","Euphorbia peplus","Euphorbia peplus","1",5
202783,"Q-P02783","Parietaria diffusa","Parietaria judaica","1",5
202783,"Q-P02783","Smilax aspera var. aspera","Smilax aspera","+",1
202783,"Q-P02783","Sonchus oleraceus","Sonchus oleraceus","1",5
202785,"Q-P02785","Chlora perfoliata","Blackstonia perfoliata","+",1
202785,"Q-P02785","Centranthus ruber","Centranthus ruber","1",5
202785,"Q-P02785","Cymbalaria muralis","Cymbalaria muralis","2",15
202785,"Q-P02785","Daucus gingidium","Daucus carota","+",1
202785,"Q-P02785","Festuca rubra","Festuca rubra","2",15
202785,"Q-P02785","Hypericum hircinum","Hypericum hircinum","+",1
202785,"Q-P02785","Leucanthemum vulgare","Leucanthemum vulgare s.l.","+",1
202785,"Q-P02785","Parietaria diffusa","Parietaria judaica","2",15
202785,"Q-P02785","Polypodium australe","Polypodium cambricum","+",1
202785,"Q-P02785","Urtica dubia","Urtica membranacea","+",1
202786,"Q-P02786","Ceterach officinarum","Asplenium ceterach","+",1
202786,"Q-P02786","Asplenium trichomanes","Asplenium trichomanes","1",5
202786,"Q-P02786","Catapodium rigidum","Catapodium rigidum","+",1
202786,"Q-P02786","Centranthus ruber","Centranthus ruber","+",1
202786,"Q-P02786","Cymbalaria muralis","Cymbalaria muralis","1",5
202786,"Q-P02786","Daucus gingidium","Daucus carota","+",1
202786,"Q-P02786","Geranium robertianum","Geranium robertianum","+",1
202786,"Q-P02786","Hedera helix","Hedera helix s.l.","+",1
202786,"Q-P02786","Hypericum hircinum","Hypericum hircinum","+",1
202786,"Q-P02786","Origanum vulgare","Origanum vulgare","1",5
202786,"Q-P02786","Parietaria diffusa","Parietaria judaica","2",15
202786,"Q-P02786","Umbilicus rupestris","Umbilicus rupestris","+",1
202788,"Q-P02788","Ceterach officinarum","Asplenium ceterach","+",1
202788,"Q-P02788","Asplenium trichomanes","Asplenium trichomanes","+",1
202788,"Q-P02788","Centranthus ruber","Centranthus ruber","2",15
202788,"Q-P02788","Cymbalaria muralis","Cymbalaria muralis","1",5
202788,"Q-P02788","Daucus gingidium","Daucus carota","+",1
202788,"Q-P02788","Hypericum hircinum","Hypericum hircinum","2",15
202788,"Q-P02788","Origanum vulgare","Origanum vulgare","1",5
202788,"Q-P02788","Sedum dasyphyllum","Sedum dasyphyllum","+",1
202792,"Q-P02792","Asplenium trichomanes","Asplenium trichomanes","+",1
202792,"Q-P02792","Centranthus ruber","Centranthus ruber","+",1
202792,"Q-P02792","Cymbalaria muralis","Cymbalaria muralis","2",15
202792,"Q-P02792","Parietaria diffusa","Parietaria judaica","+",1
202792,"Q-P02792","Sagina procumbens","Sagina procumbens","+",1
202792,"Q-P02792","Trachelium caeruleum","Trachelium caeruleum","2",15
202793,"Q-P02793","Asplenium trichomanes","Asplenium trichomanes","+",1
202793,"Q-P02793","Centranthus ruber","Centranthus ruber","1",5
202793,"Q-P02793","Cymbalaria muralis","Cymbalaria muralis","2",15
202793,"Q-P02793","Polypodium australe","Polypodium cambricum","+",1
202793,"Q-P02793","Sagina procumbens","Sagina procumbens","+",1
202793,"Q-P02793","Trachelium caeruleum","Trachelium caeruleum","2",15
