"SIVIMID","Sintaxon","Relevé.number","Temp","Precip","UTM10X10","UTM1X1","JuiceID","OriginalElevation","Locality","Country","ECOREG_WWF","DUNES_BOHN","Plant.Cover","Aspect","Slope","Area","SintaxonID","Authors","Year","Title","Publication","EUNIS2020","Type","DEG_LON","DEG_LAT","Accuracy","Elevation","ANTHROPIC","Vegetation","Class","Order","Alliance","Twinspan"
"Q-P02778","Oxalido-Parietarietum",202778,137,14078,"30TVP41","",6271,NA,"Langre (Santander)","","ATL_COAST","N_DUNES",NA,"",NA,40,"93","Rivas Martínez, S.","1969","Vegetatio Hispaniae. Notula I."," Publ. Inst. Biol. Apl., XLVI: 5-34.","      ?","No forest",-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"Q-P02779","Oxalido-Parietarietum",202779,145,12079,"30TVP31","",6272,NA,"Santander","","ATL_COAST","N_DUNES",NA,"",NA,20,"93","Rivas Martínez, S.","1969","Vegetatio Hispaniae. Notula I."," Publ. Inst. Biol. Apl., XLVI: 5-34.","      ?","No forest",-3.821186692,43.46727446,"4 - UTM10x10 + Centroid",21,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"Q-P02780","Oxalido-Parietarietum",202780,140,13149,"30TVP21","",6270,NA,"Liengres (Santander)","","ATL_COAST","N_DUNES",NA,"",NA,20,"93","Rivas Martínez, S.","1969","Vegetatio Hispaniae. Notula I."," Publ. Inst. Biol. Apl., XLVI: 5-34."," H32d  ","No forest",-3.907740505,43.45562794,"4 - UTM10x10 + Centroid",32,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"Q-P02781","Oxalido-Parietarietum",202781,139,13435,"30TVP10","",6273,NA,"Santillana del Mar (Santander)","","ATL_COAST","N_DUNES",NA,"",NA,50,"93","Rivas Martínez, S.","1969","Vegetatio Hispaniae. Notula I."," Publ. Inst. Biol. Apl., XLVI: 5-34.","      ?","No forest",-4.047456892,43.39183754,"4 - UTM10x10 + Centroid",49,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"Q-P02782","Oxalido-Parietarietum",202782,145,12079,"30TVP31","",6274,NA,"Playa del Sardinero (Santander)","","ATL_COAST","N_DUNES",NA,"",NA,10,"93","Rivas Martínez, S.","1969","Vegetatio Hispaniae. Notula I."," Publ. Inst. Biol. Apl., XLVI: 5-34."," V     ","No forest",-3.821186692,43.46727446,"4 - UTM10x10 + Centroid",21,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"Q-P02783","Oxalido-Parietarietum",202783,102,11203,"30TVN26","",6275,NA,"Piquio (Santander)","","ATL_COAST","N_DUNES",NA,"",NA,10,"93","Rivas Martínez, S.","1969","Vegetatio Hispaniae. Notula I."," Publ. Inst. Biol. Apl., XLVI: 5-34."," V15   ","No forest",-3.919741838,43.03362154,"4 - UTM10x10 + Centroid",839,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"Q-P02785","Centrantho-Hypericetum hircini",202785,122,15444,"30TWN68","",6277,NA,"Cestona (Guipúzcoa)","","ATL_COAST","N_DUNES",NA,"",NA,20,"772","Rivas Martínez, S.","1969","Vegetatio Hispaniae. Notula I."," Publ. Inst. Biol. Apl., XLVI: 5-34.","      ?","No forest",-2.198835209,43.21460969,"4 - UTM10x10 + Centroid",313,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"Q-P02786","Centrantho-Hypericetum hircini",202786,122,15444,"30TWN68","",6278,NA,"De Zumaya a Cestona (Guipúzcoa)","","ATL_COAST","N_DUNES",NA,"",NA,10,"772","Rivas Martínez, S.","1969","Vegetatio Hispaniae. Notula I."," Publ. Inst. Biol. Apl., XLVI: 5-34.","      ?","No forest",-2.198835209,43.21460969,"4 - UTM10x10 + Centroid",313,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"Q-P02787","Centrantho-Hypericetum hircini",202787,108,14945,"30TWN58","",6279,NA,"Arrona (Guipúzcoa)","","ATL_COAST","N_DUNES",NA,"",NA,10,"772","Rivas Martínez, S.","1969","Vegetatio Hispaniae. Notula I."," Publ. Inst. Biol. Apl., XLVI: 5-34."," Sa    ","No forest",-2.32194203,43.2154056,"4 - UTM10x10 + Centroid",348,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"Q-P02788","Centrantho-Hypericetum hircini",202788,138,16126,"30TWN69","",6280,NA,"Zarauz (Guipúzcoa)","","ATL_COAST","N_DUNES",NA,"",NA,10,"772","Rivas Martínez, S.","1969","Vegetatio Hispaniae. Notula I."," Publ. Inst. Biol. Apl., XLVI: 5-34.","      ?","No forest",-2.204357764,43.28045619,"4 - UTM10x10 + Centroid",82,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"Q-P02789","Centrantho-Hypericetum hircini",202789,138,16126,"30TWN69","",6281,NA,"Guetaria (Guipúzcoa)","","ATL_COAST","N_DUNES",NA,"",NA,10,"772","Rivas Martínez, S.","1969","Vegetatio Hispaniae. Notula I."," Publ. Inst. Biol. Apl., XLVI: 5-34."," H32d  ","No forest",-2.204357764,43.28045619,"4 - UTM10x10 + Centroid",82,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"Q-P02790","Centrantho-Hypericetum hircini",202790,138,16126,"30TWN69","",6282,NA,"De Meagas a Zumaya (Guipúzcoa)","","ATL_COAST","N_DUNES",NA,"",NA,10,"772","Rivas Martínez, S.","1969","Vegetatio Hispaniae. Notula I."," Publ. Inst. Biol. Apl., XLVI: 5-34."," H32d  ","No forest",-2.204357764,43.28045619,"4 - UTM10x10 + Centroid",82,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"Q-P02791","Centrantho-Hypericetum hircini",202791,122,15444,"30TWN68","",6283,NA,"De Cestona a Aizarnazábal (Guipúzcoa)","","ATL_COAST","N_DUNES",NA,"",NA,20,"772","Rivas Martínez, S.","1969","Vegetatio Hispaniae. Notula I."," Publ. Inst. Biol. Apl., XLVI: 5-34.","      ?","No forest",-2.198835209,43.21460969,"4 - UTM10x10 + Centroid",313,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","U37 Walls"
"Q-P02792","Cymbalario-Trachelietum caerulei",202792,137,20371,"29TNH24","",6284,NA,"Catedral de Santiago de Compostela (Coruña)","","ATL_COAST","N_DUNES",NA,"",NA,50,"1582","Rivas Martínez, S.","1969","Vegetatio Hispaniae. Notula I."," Publ. Inst. Biol. Apl., XLVI: 5-34.","      ?","No forest",-8.693960952,42.8571451,"4 - UTM10x10 + Centroid",202,"?","VEGETATION OF ROCK CREVICES AND SCREES","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Cymbalario-Asplenion","U37 Walls"
