Relevé number;UTM10X10;UTM1X1;SIVIMID;JuiceID;OriginalElevation;Plant.Cover;Aspect;Slope;Area;EUNIS2020;DEG_LON;DEG_LAT;Sintaxon
527836;30TTP82;;T-P27836;14046;NA;100;;NA;1;R;-5.665984283;43.52893451;Asociación de Plantago coronopus-Trifolium fragiferum
527834;30TTP82;;T-P27834;14044;NA;100;;NA;1;V34;-5.665984283;43.52893451;Asociación de Plantago coronopus-Trifolium fragiferum
522469;30TTP82;;T-P22469;19254;NA;NA;;NA;1;V39;-5.665984283;43.52893451;Fumario capreolatae-Veronicetum persicae
527833;30TTP82;;T-P27833;14043;NA;100;;NA;1;V34;-5.665984283;43.52893451;Asociación de Plantago coronopus-Trifolium fragiferum
527840;30TTP82;;T-P27840;14050;20;80;;NA;NA;V35;-5.658685532;43.53317989;Asociación de Lolium perenne-Plantago major
527906;30TTP82;;T-P27906;14082;60;NA;E;2;100;R;-5.664835314;43.5042246;Lino-Cynosuretum
527835;30TTP82;;T-P27835;14045;NA;80;;NA;1;R;-5.665984283;43.52893451;Asociación de Plantago coronopus-Trifolium fragiferum
527905;30TTP82;;T-P27905;14081;40;NA;W;3;20;R22;-5.702547735;43.51774482;Lino-Cynosuretum
527798;30TTP82;;T-P27798;14029;30;NA;NE;NA;30;V15;-5.599883033;43.54713832;Comunidad de Brassica nigra
528113;30TTP82;;T-P28113;14185;250;NA;;NA;NA;S35;-5.665984283;43.52893451;Asociación de Rubus ulmifolius-Tamus communis
528112;30TTP82;;T-P28112;14184;70;NA;;NA;NA;S35;-5.709882715;43.51577033;Asociación de Rubus ulmifolius-Tamus communis
528104;30TTP82;;T-P28104;14176;75;NA;SE;NA;NA;R;-5.697122955;43.50706851;Asociación de Rubus ulmifolius-Tamus communis
527904;30TTP82;;T-P27904;14080;30;NA;;NA;50;R22;-5.664835314;43.5042246;Lino-Cynosuretum
528146;30TTP82;;T-P28146;14198;NA;80;;NA;1;V35;-5.665984283;43.52893451;Sagino-Bryetum argentei
